,src,iso_code,region,trg,weighted,log-weight,norm-log-weight,days_since_100_cases_in_China_2019,weeks_since_100_cases
482,Armenia,ARM,Asia,Iran (Islamic Republic of),1.0,0.0,0.0,61.0,8
483,Armenia,ARM,Asia,Italy,1.0,0.0,0.0,61.0,8
484,Armenia,ARM,Asia,Kazakhstan,1.0,0.0,0.0,61.0,8
485,Armenia,ARM,Asia,Lebanon,1.0,0.0,0.0,61.0,8
486,Armenia,ARM,Asia,Poland,1.0,0.0,0.0,61.0,8
487,Armenia,ARM,Asia,Russian Federation,27.0,3.295836866004329,0.5273359874642995,61.0,8
488,Armenia,ARM,Asia,Ukraine,2.0,0.6931471805599453,0.11090398820673722,61.0,8
489,Armenia,ARM,Asia,United Arab Emirates,2.0,0.6931471805599453,0.11090398820673722,61.0,8
529,Aruba,ABW,Americas,Canada,2.0,0.6931471805599453,0.11090398820673722,110.0,15
530,Aruba,ABW,Americas,Colombia,2.0,0.6931471805599453,0.11090398820673722,110.0,15
531,Aruba,ABW,Americas,Dominican Republic,2.0,0.6931471805599453,0.11090398820673722,110.0,15
532,Aruba,ABW,Americas,Netherlands,1.0,0.0,0.0,110.0,15
533,Aruba,ABW,Americas,Netherlands Antilles,3.0,1.0986122886681098,0.17577866248809984,110.0,15
534,Aruba,ABW,Americas,Panama,1.0,0.0,0.0,110.0,15
535,Aruba,ABW,Americas,Suriname,1.0,0.0,0.0,110.0,15
536,Aruba,ABW,Americas,United States of America,21.0,3.044522437723423,0.48712551965610207,110.0,15
537,Aruba,ABW,Americas,Venezuela (Bolivarian Republic of),11.0,2.3978952727983707,0.3836647634353647,110.0,15
538,Australia,AUS,Oceania,Brunei,1.0,0.0,0.0,53.0,7
539,Australia,AUS,Oceania,Canada,1.0,0.0,0.0,53.0,7
540,Australia,AUS,Oceania,Chile,2.0,0.6931471805599453,0.11090398820673722,53.0,7
541,Australia,AUS,Oceania,China,17.0,2.833213344056216,0.4533159307415043,53.0,7
542,Australia,AUS,Oceania,Christmas Island,1.0,0.0,0.0,53.0,7
543,Australia,AUS,Oceania,Cook Islands,1.0,0.0,0.0,53.0,7
544,Australia,AUS,Oceania,East Timor,2.0,0.6931471805599453,0.11090398820673722,53.0,7
545,Australia,AUS,Oceania,Fiji,11.0,2.3978952727983707,0.3836647634353647,53.0,7
546,Australia,AUS,Oceania,Guam,1.0,0.0,0.0,53.0,7
