src	trg	norm-log-prox
Kazakhstan	Kyrgyzstan	0.3459582467
Kazakhstan	Russian Federation	0.08598239184
Kazakhstan	Turkmenistan	0.1289844318
Kazakhstan	Uzbekistan	0.2121706548
Kenya	Somalia	0.1750032721
Kenya	South Sudan	0.1856902431
Kenya	Tanzania, United Republic of	0.2212168198
Kenya	Uganda	0.2466258335
Kiribati	United States of America	0.009778353339
Korea (Democratic People's Republic of)	Korea, Republic of	0.3409457978
Korea (Democratic People's Republic of)	Russian Federation	0.04112893009
Kuwait	Saudi Arabia	0.2327569853
Kyrgyzstan	Tajikistan	0.2144528386
Kyrgyzstan	Uzbekistan	0.2557701451
Lao People's Democratic Republic	Myanmar	0.2095169661
Lao People's Democratic Republic	Thailand	0.2450422804
Lao People's Democratic Republic	Viet Nam	0.1932516012
Latvia	Lithuania	0.3391250913
Latvia	Russian Federation	0.1900437286
Liberia	Sierra Leone	0.2866609937
Libya	Niger	0.1037609062
Libya	Sudan	0.09549631988
Libya	Tunisia	0.2381570427
Lithuania	Poland	0.2824786531
Lithuania	Russian Federation	0.1974657787
Madagascar	Mayotte	0.2059753162
Malawi	Mozambique	0.1431538729
Malawi	Tanzania, United Republic of	0.1756436753
Malawi	Zambia	0.2267827229
Malaysia	Philippines	0.102728788
Malaysia	Singapore	0.2976018095
Malaysia	Thailand	0.1646105284
Maldives	Sri Lanka	0.1939573877
Mali	Mauritania	0.1680703084
Mali	Niger	0.1660377897
Mali	Senegal	0.170676086
Malta	Italy	0.2244751954
Malta	Tunisia	0.2724717715
Martinique	Dominica	0.5257081857
Mauritania	Senegal	0.2535157154
Mauritania	Western Sahara	0.1775058601
Mauritius	Réunion	0.3472487256
Mayotte	Mozambique	0.1186354081
Mexico	United States of America	0.08807528141
Micronesia (Federated States of)	Papua New Guinea	0.1123778527
Moldova, Republic of	Romania	0.2749520011
Moldova, Republic of	Ukraine	0.2848956675
Mongolia	Russian Federation	0.0595035411
Montenegro	Serbia	0.360335847
Morocco	Spain	0.1937213828
Morocco	Western Sahara	0.1230102009
Mozambique	Madagascar	0.1259678805
Mozambique	South Africa	0.1339511319
Mozambique	Tanzania, United Republic of	0.106130229
Mozambique	Zambia	0.1526261682
Mozambique	Zimbabwe	0.1741883136
Myanmar	Thailand	0.2306539527
Namibia	South Africa	0.1541553472
Namibia	Zambia	0.1444755271
New Caledonia	Australia	0.1100428244
New Caledonia	Vanuatu	0.2371302898
New Zealand	Australia	0.1062544047
Niger	Nigeria	0.1978382413
Norfolk Island	New Zealand	0.1406437856
North Macedonia	Serbia	0.3367450331
Norway	Russian Federation	0.1313002699
Norway	Sweden	0.2662657081
Oman	Saudi Arabia	0.1594719421
Oman	United Arab Emirates	0.2654129551
Oman	Yemen	0.1280817887
Palau	Indonesia	0.07992028919
Palau	Philippines	0.1328772819
Papua New Guinea	Australia	0.09110002658
Papua New Guinea	Solomon Islands	0.1530217101
Philippines	Indonesia	0.09521428981
Poland	Russian Federation	0.1636752051
Poland	Slovakia	0.239196525
Poland	Ukraine	0.2114244363
Portugal	Spain	0.2406737295
Qatar	Saudi Arabia	0.2518017131
Réunion	Madagascar	0.190380862
Romania	Serbia	0.257306004
Romania	Ukraine	0.203522336
Russian Federation	Ukraine	0.2041959005
Rwanda	Tanzania, United Republic of	0.1622198859
Rwanda	Uganda	0.3141008222
Saint Lucia	Barbados	0.3751692847
Saint Lucia	Martinique	0.5850062772
Saint Pierre and Miquelon	Canada	0.1398284239
Sao Tome and Principe	Gabon	0.3094852633
Saudi Arabia	United Arab Emirates	0.1990932216
Saudi Arabia	Yemen	0.1717114493
Seychelles	Madagascar	0.1286670055
Seychelles	Somalia	0.148239644
Singapore	Indonesia	0.1901559356
Slovakia	Ukraine	0.1756436753
South Africa	Zimbabwe	0.1110466358
South Sudan	Sudan	0.1590366208
South Sudan	Uganda	0.2426117871
Sri Lanka	India	0.1026120113
Sri Lanka	Indonesia	0.0825300135
Taiwan	China	0.1328289047
Taiwan	Philippines	0.1578182111
Tajikistan	Uzbekistan	0.2944566929
Tanzania, United Republic of	Uganda	0.1736501804
Tanzania, United Republic of	Zambia	0.1379654222
Tonga	Fiji	0.2036565763
Trinidad and Tobago	Venezuela (Bolivarian Republic of)	0.2217226169
Turkmenistan	Uzbekistan	0.1713646262
Turks and Caicos Islands	Bahamas	0.2027217992
Vanuatu	Papua New Guinea	0.1083750228
Venezuela (Bolivarian Republic of)	Grenada	0.2213850652
Virgin Islands (British)	Anguilla	0.3961309312
Virgin Islands (British)	Puerto Rico	0.407632472
Zambia	Zimbabwe	0.2895559887
