	src	trg	iso_code_src	region	iso_code_trg	kmdist	proximity	log-prox	norm-log-prox
107	Brunei	Malaysia	BRN	Asia	MYS	1451	0.0006891798759	0.1373624816	0.1429834572
108	Bulgaria	Greece	BGR	Europe	GRC	453	0.002207505519	0.1635084432	0.2570481549
109	Bulgaria	North Macedonia	BGR	Europe	MKD	151	0.006622516556	0.199311187	0.4132416516
110	Bulgaria	Romania	BGR	Europe	ROU	317	0.003154574132	0.1736442189	0.3012666163
111	Bulgaria	Serbia	BGR	Europe	SRB	321	0.003115264798	0.1732669499	0.2996207381
112	Bulgaria	Turkey	BGR	Europe	TUR	866	0.001154734411	0.1478440295	0.1887103886
114	Burkina Faso	Côte d'Ivoire	BFA	Africa	CIV	784	0.001275510204	0.1500508143	0.1983377352
115	Burkina Faso	Ghana	BFA	Africa	GHA	797	0.001254705144	0.1496814477	0.196726332
116	Burkina Faso	Mali	BFA	Africa	MLI	706	0.001416430595	0.1524479659	0.2087955789
117	Burkina Faso	Niger	BFA	Africa	NER	413	0.002421307506	0.1660178801	0.2679958555
118	Burkina Faso	Togo	BFA	Africa	TGO	730	0.001369863014	0.1516749955	0.2054234086
119	Burundi	Congo, Democratic Republic of the	BDI	Africa	COD	2852	0.000350631136	0.1256948445	0.09208207813
120	Burundi	Rwanda	BDI	Africa	RWA	234	0.004273504274	0.1833072662	0.3434227472
121	Burundi	Tanzania, United Republic of	BDI	Africa	TZA	1158	0.0008635578584	0.1417545023	0.1621441411
122	Burundi	Tanzania, United Republic of	BDI	Africa	TZA	1158	0.0008635578584	0.1417545023	0.1621441411
123	Cabo Verde	Mauritania	CPV	Africa	MRT	879	0.001137656428	0.1475190635	0.187292688
124	Cabo Verde	Senegal	CPV	Africa	SEN	730	0.001369863014	0.1516749955	0.2054234086
125	Cambodia	Lao People's Democratic Republic	KHM	Asia	LAO	710	0.001408450704	0.1523167769	0.2082232523
126	Cambodia	Thailand	KHM	Asia	THA	521	0.001919385797	0.1598529342	0.2411005861
127	Cambodia	Viet Nam	KHM	Asia	VNM	205	0.00487804878	0.1878636343	0.3633004153
128	Cameroon	Central African Republic	CMR	Africa	CAF	802	0.001246882793	0.1495414623	0.1961156302
129	Cameroon	Chad	CMR	Africa	TCD	1065	0.0009389671362	0.1434569964	0.1695714635
130	Cameroon	Congo	CMR	Africa	COG	898	0.001113585746	0.1470551457	0.1852687942
131	Cameroon	Equatorial Guinea	CMR	Africa	GNQ	205	0.00487804878	0.1878636343	0.3633004153
132	Cameroon	Gabon	CMR	Africa	GAB	405	0.002469135802	0.1665587625	0.270355516
133	Cameroon	Nigeria	CMR	Africa	NGA	963	0.001038421599	0.1455592759	0.178742894
134	Canada	Greenland	CAN	Americas	GRL	2558	0.0003909304144	0.127437546	0.09968480934
135	Canada	United States of America	CAN	Americas	USA	731	0.001367989056	0.1516435095	0.2052860473
136	Canada	United States of America	CAN	Americas	USA	731	0.001367989056	0.1516435095	0.2052860473
137	Cayman Islands	Cuba	CYM	Americas	CUB	429	0.002331002331	0.1649768386	0.2634541953
138	Cayman Islands	Jamaica	CYM	Americas	JAM	508	0.001968503937	0.1605012403	0.2439288942
140	Central African Republic	Chad	CAF	Africa	TCD	974	0.001026694045	0.1453190277	0.1776947843
141	Central African Republic	Congo	CAF	Africa	COG	970	0.001030927835	0.1454059836	0.1780741393
142	Central African Republic	Congo, Democratic Republic of the	CAF	Africa	COD	1031	0.0009699321048	0.1441278463	0.1724981216
143	Central African Republic	South Sudan	CAF	Africa	SSD	1444	0.0006925207756	0.1374537889	0.1433817953
144	Central African Republic	Sudan	CAF	Africa	SDN	1961	0.0005099439062	0.1319050683	0.1191748778
145	Central African Republic	Sudan	CAF	Africa	SDN	1961	0.0005099439062	0.1319050683	0.1191748778
148	Chad	Libya	TCD	Africa	LBY	2243	0.0004458314757	0.1296080601	0.1091539212
149	Chad	Niger	TCD	Africa	NER	1397	0.0007158196135	0.138081832	0.1461217043
