	src	trg	weighted	log-weight	norm-log-weight	iso_code_src	iso_code_trg
165	China	United Arab Emirates	30	3.401197382	0.4902758246	CHN	ARE
166	Cyprus	United Arab Emirates	6	1.791759469	0.2582785568	CYP	ARE
167	Czechia	United Arab Emirates	4	1.386294361	0.1998315695	CZE	ARE
168	Denmark	United Arab Emirates	4	1.386294361	0.1998315695	DNK	ARE
169	Djibouti	United Arab Emirates	5	1.609437912	0.2319972678	DJI	ARE
170	Egypt	United Arab Emirates	22	3.091042453	0.4455676098	EGY	ARE
171	Ethiopia	United Arab Emirates	6	1.791759469	0.2582785568	ETH	ARE
172	France	United Arab Emirates	14	2.63905733	0.3804148549	FRA	ARE
173	Georgia	United Arab Emirates	2	0.6931471806	0.09991578476	GEO	ARE
174	Germany	United Arab Emirates	46	3.828641396	0.5518910275	DEU	ARE
175	Ghana	United Arab Emirates	2	0.6931471806	0.09991578476	GHA	ARE
176	Greece	United Arab Emirates	6	1.791759469	0.2582785568	GRC	ARE
177	Hong Kong	United Arab Emirates	9	2.197224577	0.3167255442	HKG	ARE
178	Hungary	United Arab Emirates	2	0.6931471806	0.09991578476	HUN	ARE
179	India	United Arab Emirates	162	5.087596335	0.7333668731	IND	ARE
180	Indonesia	United Arab Emirates	10	2.302585093	0.3319130525	IDN	ARE
181	Iran (Islamic Republic of)	United Arab Emirates	45	3.80666249	0.5487228119	IRN	ARE
182	Iraq	United Arab Emirates	30	3.401197382	0.4902758246	IRQ	ARE
183	Ireland	United Arab Emirates	8	2.079441542	0.2997473543	IRL	ARE
184	Italy	United Arab Emirates	16	2.772588722	0.399663139	ITA	ARE
185	Japan	United Arab Emirates	16	2.772588722	0.399663139	JPN	ARE
186	Jordan	United Arab Emirates	18	2.890371758	0.4166413289	JOR	ARE
187	Kazakhstan	United Arab Emirates	14	2.63905733	0.3804148549	KAZ	ARE
188	Kenya	United Arab Emirates	18	2.890371758	0.4166413289	KEN	ARE
189	Kuwait	United Arab Emirates	23	3.135494216	0.4519752428	KWT	ARE
190	Kyrgyzstan	United Arab Emirates	2	0.6931471806	0.09991578476	KGZ	ARE
191	Lebanon	United Arab Emirates	12	2.48490665	0.3581943416	LBN	ARE
192	Libya	United Arab Emirates	2	0.6931471806	0.09991578476	LBY	ARE
193	North Macedonia	United Arab Emirates	2	0.6931471806	0.09991578476	MKD	ARE
194	Malaysia	United Arab Emirates	15	2.708050201	0.3903600398	MYS	ARE
195	Maldives	United Arab Emirates	8	2.079441542	0.2997473543	MDV	ARE
196	Mauritius	United Arab Emirates	4	1.386294361	0.1998315695	MUS	ARE
197	Moldova, Republic of	United Arab Emirates	2	0.6931471806	0.09991578476	MDA	ARE
198	Morocco	United Arab Emirates	8	2.079441542	0.2997473543	MAR	ARE
199	Nepal	United Arab Emirates	8	2.079441542	0.2997473543	NPL	ARE
200	Netherlands	United Arab Emirates	20	2.995732274	0.4318288373	NLD	ARE
201	Nigeria	United Arab Emirates	4	1.386294361	0.1998315695	NGA	ARE
202	Oman	United Arab Emirates	41	3.713572067	0.5353040129	OMN	ARE
203	Pakistan	United Arab Emirates	102	4.624972813	0.6666806143	PAK	ARE
204	Philippines	United Arab Emirates	14	2.63905733	0.3804148549	PHL	ARE
205	Poland	United Arab Emirates	4	1.386294361	0.1998315695	POL	ARE
206	Portugal	United Arab Emirates	4	1.386294361	0.1998315695	PRT	ARE
207	Qatar	United Arab Emirates	21	3.044522438	0.4388618422	QAT	ARE
208	Romania	United Arab Emirates	6	1.791759469	0.2582785568	ROU	ARE
209	Russian Federation	United Arab Emirates	74	4.304065093	0.620422406	RUS	ARE
210	Rwanda	United Arab Emirates	2	0.6931471806	0.09991578476	RWA	ARE
211	Saudi Arabia	United Arab Emirates	93	4.532599493	0.6533651843	SAU	ARE
212	Senegal	United Arab Emirates	2	0.6931471806	0.09991578476	SEN	ARE
213	Serbia	United Arab Emirates	6	1.791759469	0.2582785568	SRB	ARE
214	Seychelles	United Arab Emirates	8	2.079441542	0.2997473543	SYC	ARE
215	Singapore	United Arab Emirates	22	3.091042453	0.4455676098	SGP	ARE
216	Somalia	United Arab Emirates	7	1.945910149	0.2804990701	SOM	ARE
217	South Africa	United Arab Emirates	20	2.995732274	0.4318288373	ZAF	ARE
218	Korea, Republic of	United Arab Emirates	10	2.302585093	0.3319130525	KOR	ARE
219	South Sudan	United Arab Emirates	2	0.6931471806	0.09991578476	SSD	ARE
220	Spain	United Arab Emirates	4	1.386294361	0.1998315695	ESP	ARE
221	Sri Lanka	United Arab Emirates	24	3.17805383	0.4581101264	LKA	ARE
222	Sudan	United Arab Emirates	20	2.995732274	0.4318288373	SDN	ARE
223	Sweden	United Arab Emirates	4	1.386294361	0.1998315695	SWE	ARE
224	Switzerland	United Arab Emirates	14	2.63905733	0.3804148549	CHE	ARE
225	Taiwan	United Arab Emirates	2	0.6931471806	0.09991578476	TWN	ARE
