src,trg,kmdist,Proximity_1_over_dist
BHM,LEB,10357,0.0000965530559
BHM,JOR,10513,0.00009512032721
BHM,ISR,10367,0.0000964599209
BHM,SAU,11835,0.00008449514153
BHM,YAR,12183,0.0000820815891
BHM,YEM,12183,0.0000820815891
BHM,YPR,12436,0.00008041170794
BHM,KUW,11589,0.00008628872206
BHM,BAH,12052,0.00008297378029
BHM,QAT,12084,0.00008275405495
BHM,UAE,12439,0.00008039231449
BHM,OMA,12813,0.0000780457348
BHM,AFG,12551,0.0000796749263
BHM,TKM,11679,0.00008562376916
BHM,TAJ,12168,0.00008218277449
BHM,KYR,12039,0.00008306337736
BHM,UZB,11915,0.00008392782207
BHM,KZK,12038,0.00008307027745
BHM,CHN,12847,0.00007783918425
BHM,TBT,13857,0.00007216569243
BHM,MON,12068,0.00008286377196
BHM,TAW,14209,0.00007037792948
BHM,KOR,12776,0.00007827175955
BHM,PRK,12616,0.00007926442613
BHM,ROK,12776,0.00007827175955
BHM,JPN,12408,0.0000805931657
BHM,IND,13526,0.00007393168712
BHM,BHU,14098,0.0000709320471
BHM,PAK,12834,0.00007791803023
BHM,BNG,14545,0.0000687521485
BHM,MYA,15441,0.00006476264491
BHM,SRI,15733,0.00006356066866
BHM,NEP,13957,0.00007164863509
BHM,MAD,15469,0.00006464541987
BHM,THI,15836,0.00006314725941
BHM,CAM,16077,0.00006220065933
BHM,LAO,15405,0.00006491398896
BHM,VNM,16100,0.00006211180124
BHM,DRV,14970,0.0000668002672
BHM,RVN,16101,0.00006210794361
BHM,MAL,16962,0.00005895531187
BHM,SIN,17193,0.00005816320596
BHM,BRU,16606,0.00006021919788
BHM,PHI,15362,0.00006509569067
BHM,INS,17956,0.0000556916908
BHM,ETM,17123,0.00005840098114
BHM,AUL,15519,0.00006443714157
BHM,PNG,15115,0.00006615944426
BHM,NEW,13302,0.00007517666516
BHM,VAN,13417,0.00007453230976
BHM,SOL,13902,0.0000719320961
BHM,FJI,12337,0.00008105698306
BHM,MSI,12146,0.00008233163181
BHM,PAL,15168,0.00006592827004
BHM,FSM,13184,0.00007584951456
BHM,WSM,12787,0.00007820442637
CUB,USA,1813,0.0005515719801
CUB,CAN,2536,0.0003943217666
CUB,BHM,655,0.001526717557
CUB,HAI,1152,0.0008680555556
CUB,DOM,1381,0.0007241129616
CUB,JAM,810,0.001234567901
CUB,TRI,2624,0.000381097561
CUB,BAR,2646,0.0003779289494
CUB,DMA,2458,0.0004068348251
CUB,GRN,2505,0.0003992015968
CUB,SLU,2456,0.0004071661238
CUB,SVG,2484,0.0004025764895
CUB,AAB,2245,0.0004454342984
CUB,SKN,2140,0.0004672897196
CUB,BLZ,876,0.001141552511
CUB,MEX,1788,0.0005592841163
CUB,GUA,1276,0.0007836990596
CUB,HON,1130,0.0008849557522
CUB,SAL,1262,0.0007923930269
CUB,NIC,1293,0.0007733952049
CUB,COS,1476,0.0006775067751
CUB,PAN,1603,0.0006238303182
CUB,COL,2235,0.0004474272931
CUB,VEN,2185,0.0004576659039
CUB,GUY,3154,0.0003170577045
CUB,SUR,3486,0.0002868617326
CUB,ECU,2604,0.0003840245776
CUB,PER,3953,0.000252972426
CUB,BRA,5680,0.000176056338
CUB,BOL,4628,0.0002160760588
CUB,PAR,5989,0.0001669727834
CUB,CHL,6368,0.0001570351759
CUB,ARG,6837,0.0001462629808
CUB,URU,6937,0.0001441545337
CUB,UK,7510,0.0001331557923
CUB,IRE,7043,0.0001419849496
CUB,NTH,7805,0.0001281229981
CUB,BEL,7819,0.0001278935925
CUB,LUX,7955,0.0001257071025
CUB,FRN,7726,0.0001294330831
CUB,MNC,8227,0.0001215509906
CUB,LIE,8273,0.000120875136
CUB,SWZ,8147,0.0001227445686
CUB,SPN,7440,0.0001344086022
CUB,AND,7802,0.0001281722635
CUB,POR,7014,0.0001425719989
CUB,GMY,8374,0.0001194172439
CUB,GFR,8016,0.000124750499
CUB,GDR,8374,0.0001194172439
CUB,POL,8861,0.0001128540797
CUB,AUH,8721,0.0001146657493
CUB,AUS,8721,0.0001146657493
CUB,HUN,8958,0.0001116320607
CUB,CZE,8516,0.0001174260216
CUB,CZR,8516,0.0001174260216
CUB,SLO,8778,0.0001139211666
CUB,ITA,8731,0.0001145344176
CUB,SNM,8608,0.0001161710037
CUB,MLT,9103,0.0001098538943
CUB,ALB,9284,0.000107712193
CUB,SER,9190,0.0001088139282
CUB,MNG,9178,0.0001089561996
CUB,MAC,9364,0.0001067919692
CUB,CRO,8820,0.0001133786848
CUB,YUG,9190,0.0001088139282
CUB,BOS,9091,0.0001099989
CUB,SLV,8674,0.0001152870648
CUB,GRC,9730,0.0001027749229
CUB,CYP,10641,0.00009397613006
CUB,BUL,9496,0.0001053074979
CUB,MLD,9611,0.0001040474456
CUB,RUM,9595,0.0001042209484
CUB,RUS,9622,0.0001039284972
CUB,EST,8725,0.0001146131805
CUB,LAT,8843,0.0001130837951
CUB,LIT,9021,0.0001108524554
CUB,UKR,9539,0.0001048327917
CUB,BLR,9199,0.0001087074682
CUB,ARM,11083,0.00009022827754
CUB,GRG,11101,0.0000900819746
CUB,AZE,11409,0.0000876501008
