,src,trg,iso_code_src,region,days_since_100_cases_in_China_2019,weeks_since_100_cases,iso_code_trg,kmdist,proximity,log-prox,Norm_prox,norm_log_prox
60,Belarus,Latvia,BLR,Europe,73.0,10,LVA,404.0,0.0024752475247524753,0.1666273737668555,0.04816480943124273,0.04816480943124273
61,Belarus,Lithuania,BLR,Europe,73.0,10,LTU,180.0,0.005555555555555556,0.19256851707299927,0.1098578310421807,0.1098578310421807
62,Belarus,Poland,BLR,Europe,73.0,10,POL,454.0,0.0022026431718061676,0.1634495117730625,0.04270503525626593,0.04270503525626593
63,Belarus,Russian Federation,BLR,Europe,73.0,10,RUS,688.0,0.0014534883720930232,0.1530505537911297,0.027700813994475,0.027700813994475
64,Belarus,Ukraine,BLR,Europe,73.0,10,UKR,390.0,0.002564102564102564,0.16761237088628497,0.04994441582386594,0.04994441582386594
65,Belgium,France,BEL,Europe,47.0,6,FRA,266.0,0.0037593984962406013,0.17909924977065075,0.07388404037941168,0.07388404037941168
66,Belgium,France,BEL,Europe,47.0,6,FRA,266.0,0.0037593984962406013,0.17909924977065075,0.07388404037941168,0.07388404037941168
67,Belgium,Germany,BEL,Europe,47.0,6,DEU,676.0,0.0014792899408284023,0.15346383821506743,0.028217572942499054,0.028217572942499054
68,Belgium,Germany,BEL,Europe,47.0,6,DEU,676.0,0.0014792899408284023,0.15346383821506743,0.028217572942499054,0.028217572942499054
69,Belgium,Germany,BEL,Europe,47.0,6,DEU,202.0,0.0049504950495049506,0.18838537485394247,0.09773955894003217,0.09773955894003217
70,Belgium,Germany,BEL,Europe,47.0,6,DEU,202.0,0.0049504950495049506,0.18838537485394247,0.09773955894003217,0.09773955894003217
71,Belgium,Luxembourg,BEL,Europe,47.0,6,LUX,136.0,0.007352941176470588,0.20355592307196482,0.14585622758091601,0.14585622758091601
72,Belgium,Luxembourg,BEL,Europe,47.0,6,LUX,136.0,0.007352941176470588,0.20355592307196482,0.14585622758091601,0.14585622758091601
73,Belgium,Netherlands,BEL,Europe,47.0,6,NLD,219.0,0.0045662100456621,0.18556071437446803,0.09004302248661279,0.09004302248661279
74,Belgium,Netherlands,BEL,Europe,47.0,6,NLD,219.0,0.0045662100456621,0.18556071437446803,0.09004302248661279,0.09004302248661279
75,Belize,Guatemala,BLZ,Americas,999.0,142,GTM,400.0,0.0025,0.16690410034766703,0.04866055692633063,0.04866055692633063
76,Belize,Mexico,BLZ,Americas,999.0,142,MEX,1178.0,0.0008488964346349745,0.14141124591323506,0.015591926477250353,0.015591926477250353
77,Benin,Burkina Faso,BEN,Africa,110.0,15,BFA,807.0,0.0012391573729863693,0.14940260617315615,0.023408150135031898,0.023408150135031898
78,Benin,Niger,BEN,Africa,110.0,15,NER,780.0,0.001282051282051282,0.15016607046644773,0.024267237873159618,0.024267237873159618
79,Benin,Nigeria,BEN,Africa,110.0,15,NGA,74.0,0.013513513513513514,0.23233849357411737,0.269241395078547,0.269241395078547
80,Benin,Togo,BEN,Africa,110.0,15,TGO,166.0,0.006024096385542169,0.1956186206621379,0.11924185993179627,0.11924185993179627
81,Bermuda,United States of America,BMU,Americas,100.0,14,USA,1326.0,0.0007541478129713424,0.13908356394576527,0.013694282246398194,0.013694282246398194
82,Bhutan,China,BTN,Asia,999.0,142,CHN,2806.0,0.0003563791874554526,0.12595227380626867,0.005727693137546288,0.005727693137546288
83,Bhutan,India,BTN,Asia,999.0,142,IND,1220.0,0.000819672131147541,0.14071414408225535,0.015006616317167175,0.015006616317167175
84,Bhutan,India,BTN,Asia,999.0,142,IND,1220.0,0.000819672131147541,0.14071414408225535,0.015006616317167175,0.015006616317167175
85,Bolivia,Argentina,BOL,Americas,73.0,10,ARG,2213.0,0.00045187528242205153,0.12983464724049323,0.007640307912309118,0.007640307912309118
86,Bolivia,Brazil,BOL,Americas,73.0,10,BRA,2178.0,0.0004591368227731864,0.13010394010877954,0.0077857434860671305,0.0077857434860671305
87,Bolivia,Chile,BOL,Americas,73.0,10,CHL,1908.0,0.0005241090146750524,0.13238351073275065,0.009087019462050221,0.009087019462050221
88,Bolivia,Paraguay,BOL,Americas,73.0,10,PRY,1480.0,0.0006756756756756757,0.13699010393820013,0.012122626680257981,0.012122626680257981
89,Bolivia,Peru,BOL,Americas,73.0,10,PER,1069.0,0.0009354536950420954,0.14337988726573253,0.017325512496401782,0.017325512496401782
90,Bosnia and Herzegovina,Croatia,BIH,Europe,65.0,9,HRV,299.0,0.0033444816053511705,0.1754249449407652,0.06557400240255674,0.06557400240255674
91,Bosnia and Herzegovina,Montenegro,BIH,Europe,65.0,9,MNE,96.0,0.010416666666666666,0.21908933281411486,0.20721713077194215,0.20721713077194215
92,Bosnia and Herzegovina,Serbia,BIH,Europe,65.0,9,SRB,196.0,0.00510204081632653,0.1894615908449756,0.10077474768546825,0.10077474768546825
93,Botswana,Namibia,BWA,Africa,161.0,23,NAM,931.0,0.0010741138560687433,0.14627882873370296,0.02010262576729855,0.02010262576729855
94,Botswana,South Africa,BWA,Africa,161.0,23,ZAF,1260.0,0.0007936507936507937,0.1400782505133701,0.014485455796700068,0.014485455796700068
95,Botswana,Zambia,BWA,Africa,161.0,23,ZMB,1035.0,0.000966183574879227,0.14404745418365533,0.017940976638927627,0.017940976638927627
96,Botswana,Zimbabwe,BWA,Africa,161.0,23,ZWE,932.0,0.001072961373390558,0.1462558613282867,0.02007954361510451,0.02007954361510451
97,Brazil,Argentina,BRA,Americas,57.0,8,ARG,2370.0,0.0004219409282700422,0.12868944210809358,0.007040776716356643,0.007040776716356643
98,Brazil,Bolivia,BRA,Americas,57.0,8,BOL,2178.0,0.0004591368227731864,0.13010394010877954,0.0077857434860671305,0.0077857434860671305
99,Brazil,Colombia,BRA,Americas,57.0,8,COL,3651.0,0.0002738975623116954,0.12191024010372484,0.004075734751692116,0.004075734751692116
100,Brazil,French Guiana,BRA,Americas,57.0,8,GUF,2354.0,0.0004248088360237893,0.1288017231260359,0.0070982157429932,0.0070982157429932
101,Brazil,Guyana,BRA,Americas,57.0,8,GUY,2714.0,0.00036845983787767134,0.12648335184257767,0.005969646805854524,0.005969646805854524
102,Brazil,Paraguay,BRA,Americas,57.0,8,PRY,1509.0,0.0006626905235255136,0.13662690786782047,0.011862557471526147,0.011862557471526147
103,Brazil,Peru,BRA,Americas,57.0,8,PER,3185.0,0.0003139717425431711,0.1239739978879779,0.0048783484001772934,0.0048783484001772934
104,Brazil,Suriname,BRA,Americas,57.0,8,SUR,2467.0,0.00040535062829347385,0.12802854538329264,0.0067085028902485674,0.0067085028902485674
105,Brazil,Uruguay,BRA,Americas,57.0,8,URY,2277.0,0.0004391743522178305,0.12935583013901225,0.007385931157214356,0.007385931157214356
106,Brazil,Venezuela (Bolivarian Republic of),BRA,Americas,57.0,8,VEN,3512.0,0.0002847380410022779,0.12248986188680845,0.004292850014011078,0.004292850014011078
107,Brunei,Malaysia,BRN,Asia,67.0,9,MYS,1451.0,0.0006891798759476223,0.13736248164331694,0.012393091487960486,0.012393091487960486
108,Bulgaria,Greece,BGR,Europe,62.0,8,GRC,453.0,0.002207505518763797,0.1635084431645399,0.042802419307775445,0.042802419307775445
109,Bulgaria,North Macedonia,BGR,Europe,62.0,8,MKD,151.0,0.006622516556291391,0.19931118704250333,0.1312271380784197,0.1312271380784197
110,Bulgaria,Romania,BGR,Europe,62.0,8,ROU,317.0,0.0031545741324921135,0.1736442188571542,0.06177049778223541,0.06177049778223541
111,Bulgaria,Serbia,BGR,Europe,62.0,8,SRB,321.0,0.003115264797507788,0.173266949911753,0.06098320260641259,0.06098320260641259
112,Bulgaria,Turkey,BGR,Europe,62.0,8,TUR,866.0,0.0011547344110854503,0.14784402950648895,0.021717310270664533,0.021717310270664533
113,Burkina Faso,Benin,BFA,Africa,68.0,9,BEN,807.0,0.0012391573729863693,0.14940260617315615,0.023408150135031898,0.023408150135031898
114,Burkina Faso,Côte d'Ivoire,BFA,Africa,68.0,9,CIV,784.0,0.0012755102040816326,0.15005081425020655,0.024136231863207035,0.024136231863207035
115,Burkina Faso,Ghana,BFA,Africa,68.0,9,GHA,797.0,0.0012547051442910915,0.14968144767086633,0.023719543989643925,0.023719543989643925
116,Burkina Faso,Mali,BFA,Africa,68.0,9,MLI,706.0,0.00141643059490085,0.15244796589352247,0.02695861346572657,0.02695861346572657
117,Burkina Faso,Niger,BFA,Africa,68.0,9,NER,413.0,0.002421307506053269,0.16601788005403986,0.047084488013375655,0.047084488013375655
118,Burkina Faso,Togo,BFA,Africa,68.0,9,TGO,730.0,0.0013698630136986301,0.15167499549281763,0.026025948691701148,0.026025948691701148
119,Burundi,"Congo, Democratic Republic of the",BDI,Africa,150.0,21,COD,2852.0,0.0003506311360448808,0.1256948445330822,0.005612570021173819,0.005612570021173819
120,Burundi,Rwanda,BDI,Africa,150.0,21,RWA,234.0,0.004273504273504274,0.18330726621844892,0.08418065309147438,0.08418065309147438
121,Burundi,"Tanzania, United Republic of",BDI,Africa,150.0,21,TZA,1158.0,0.0008635578583765112,0.14175450225902728,0.015885568386659627,0.015885568386659627
122,Burundi,"Tanzania, United Republic of",BDI,Africa,150.0,21,TZA,1158.0,0.0008635578583765112,0.14175450225902728,0.015885568386659627,0.015885568386659627
123,Cabo Verde,Mauritania,CPV,Africa,100.0,14,MRT,879.0,0.0011376564277588168,0.14751906353327135,0.021375269025469146,0.021375269025469146
124,Cabo Verde,Senegal,CPV,Africa,100.0,14,SEN,730.0,0.0013698630136986301,0.15167499549281763,0.026025948691701148,0.026025948691701148
125,Cambodia,Lao People's Democratic Republic,KHM,Asia,70.0,10,LAO,710.0,0.0014084507042253522,0.15231677694108572,0.026798790628863062,0.026798790628863062
126,Cambodia,Thailand,KHM,Asia,70.0,10,THA,521.0,0.0019193857965451055,0.1598529342326023,0.03703190023253186,0.03703190023253186
127,Cambodia,Viet Nam,KHM,Asia,70.0,10,VNM,205.0,0.004878048780487805,0.1878636342819447,0.09628859066172614,0.09628859066172614
128,Cameroon,Central African Republic,CMR,Africa,73.0,10,CAF,802.0,0.0012468827930174563,0.1495414623330074,0.023562876383239995,0.023562876383239995
129,Cameroon,Chad,CMR,Africa,73.0,10,TCD,1065.0,0.0009389671361502347,0.14345699643936355,0.01739588039339314,0.01739588039339314
130,Cameroon,Congo,CMR,Africa,73.0,10,COG,898.0,0.0011135857461024498,0.14705514567368316,0.020893176627966584,0.020893176627966584
131,Cameroon,Equatorial Guinea,CMR,Africa,73.0,10,GNQ,205.0,0.004878048780487805,0.1878636342819447,0.09628859066172614,0.09628859066172614
132,Cameroon,Gabon,CMR,Africa,73.0,10,GAB,405.0,0.0024691358024691358,0.16655876248550613,0.04804240264233214,0.04804240264233214
133,Cameroon,Nigeria,CMR,Africa,73.0,10,NGA,963.0,0.0010384215991692627,0.14555927589772058,0.019387774150439727,0.019387774150439727
134,Canada,Greenland,CAN,Americas,54.0,7,GRL,2558.0,0.00039093041438623924,0.12743754601625631,0.0064196919793535825,0.0064196919793535825
135,Canada,United States of America,CAN,Americas,54.0,7,USA,731.0,0.0013679890560875513,0.15164350948021152,0.025988416696120783,0.025988416696120783
136,Canada,United States of America,CAN,Americas,54.0,7,USA,731.0,0.0013679890560875513,0.15164350948021152,0.025988416696120783,0.025988416696120783
137,Cayman Islands,Cuba,CYM,Americas,123.0,17,CUB,429.0,0.002331002331002331,0.16497683863384652,0.04527583801464661,0.04527583801464661
138,Cayman Islands,Jamaica,CYM,Americas,123.0,17,JAM,508.0,0.001968503937007874,0.16050124029960103,0.038015648114482686,0.038015648114482686
139,Central African Republic,Cameroon,CAF,Africa,112.0,16,CMR,802.0,0.0012468827930174563,0.1495414623330074,0.023562876383239995,0.023562876383239995
140,Central African Republic,Chad,CAF,Africa,112.0,16,TCD,974.0,0.001026694045174538,0.14531902772192534,0.019152892367577456,0.019152892367577456
141,Central African Republic,Congo,CAF,Africa,112.0,16,COG,970.0,0.0010309278350515464,0.14540598363133506,0.019237687552918176,0.019237687552918176
142,Central African Republic,"Congo, Democratic Republic of the",CAF,Africa,112.0,16,COD,1031.0,0.0009699321047526673,0.14412784634351633,0.01801605294044644,0.01801605294044644
