	src	trg	weighted	log-weight	norm-log-weight	iso_code_src	iso_code_trg
143	Spain	Pakistan	2	0.6931471806	0.1109039882	ESP	PAK
144	Sri Lanka	Pakistan	2	0.6931471806	0.1109039882	LKA	PAK
145	Thailand	Pakistan	4	1.386294361	0.2218079764	THA	PAK
146	Turkey	Pakistan	3	1.098612289	0.1757786625	TUR	PAK
147	United Arab Emirates	Pakistan	51	3.931825633	0.6290945932	ARE	PAK
148	United Kingdom of Great Britain and Northern Ireland	Pakistan	7	1.945910149	0.3113468572	GBR	PAK
149	United States of America	Pakistan	1	0	0	USA	PAK
150	Afghanistan	Tajikistan	1	0	0	AFG	TJK
151	China	Tajikistan	4	1.386294361	0.2218079764	CHN	TJK
152	Germany	Tajikistan	1	0	0	DEU	TJK
153	India	Tajikistan	1	0	0	IND	TJK
154	Iran (Islamic Republic of)	Tajikistan	3	1.098612289	0.1757786625	IRN	TJK
155	Kazakhstan	Tajikistan	3	1.098612289	0.1757786625	KAZ	TJK
156	Kyrgyzstan	Tajikistan	2	0.6931471806	0.1109039882	KGZ	TJK
157	Russian Federation	Tajikistan	72	4.276666119	0.6842692896	RUS	TJK
158	Turkey	Tajikistan	3	1.098612289	0.1757786625	TUR	TJK
159	United Arab Emirates	Tajikistan	3	1.098612289	0.1757786625	ARE	TJK
160	Afghanistan	Turkey	3	1.098612289	0.1757786625	AFG	TUR
161	Albania	Turkey	2	0.6931471806	0.1109039882	ALB	TUR
162	Algeria	Turkey	6	1.791759469	0.2866826507	DZA	TUR
163	Austria	Turkey	19	2.944438979	0.4711121029	AUT	TUR
164	Azerbaijan	Turkey	6	1.791759469	0.2866826507	AZE	TUR
165	Bahrain	Turkey	2	0.6931471806	0.1109039882	BHR	TUR
166	Bangladesh	Turkey	1	0	0	BGD	TUR
167	Belarus	Turkey	2	0.6931471806	0.1109039882	BLR	TUR
168	Belgium	Turkey	8	2.079441542	0.3327119646	BEL	TUR
169	Bosnia and Herzegovina	Turkey	4	1.386294361	0.2218079764	BIH	TUR
170	Brazil	Turkey	1	0	0	BRA	TUR
171	Bulgaria	Turkey	1	0	0	BGR	TUR
172	Burkina Faso	Turkey	1	0	0	BFA	TUR
173	Cameroon	Turkey	1	0	0	CMR	TUR
174	Canada	Turkey	2	0.6931471806	0.1109039882	CAN	TUR
175	Chad	Turkey	1	0	0	TCD	TUR
176	China	Turkey	7	1.945910149	0.3113468572	CHN	TUR
177	Congo, Democratic Republic of the	Turkey	1	0	0	COD	TUR
