,src,trg,weighted,log-weight,norm-log-weight,iso_code_src,region,iso_code_trg,days_to_first_100_cases,weeks_since_100_cases
106,India,Kuwait,9,2.1972245773362196,0.3515573249761997,IND,Asia,KWT,57.0,8
107,Iran (Islamic Republic of),Kuwait,10,2.302585092994046,0.3684150742590171,IRN,Asia,KWT,57.0,8
108,Iraq,Kuwait,2,0.6931471805599453,0.11090398820673722,IRQ,Asia,KWT,57.0,8
109,Italy,Kuwait,2,0.6931471805599453,0.11090398820673722,ITA,Europe,KWT,57.0,8
110,Jordan,Kuwait,3,1.0986122886681098,0.17577866248809984,JOR,Asia,KWT,57.0,8
111,Lebanon,Kuwait,3,1.0986122886681098,0.17577866248809984,LBN,Asia,KWT,57.0,8
112,Malaysia,Kuwait,1,0.0,0.0,MYS,Asia,KWT,57.0,8
113,Netherlands,Kuwait,3,1.0986122886681098,0.17577866248809984,NLD,Europe,KWT,57.0,8
114,Oman,Kuwait,2,0.6931471805599453,0.11090398820673722,OMN,Asia,KWT,57.0,8
115,Pakistan,Kuwait,6,1.791759469228055,0.28668265069483706,PAK,Asia,KWT,57.0,8
116,Qatar,Kuwait,2,0.6931471805599453,0.11090398820673722,QAT,Asia,KWT,57.0,8
117,Saudi Arabia,Kuwait,17,2.833213344056216,0.4533159307415043,SAU,Asia,KWT,57.0,8
118,Sri Lanka,Kuwait,3,1.0986122886681098,0.17577866248809984,LKA,Asia,KWT,57.0,8
119,Thailand,Kuwait,1,0.0,0.0,THA,Asia,KWT,57.0,8
120,Tunisia,Kuwait,1,0.0,0.0,TUN,Africa,KWT,57.0,8
121,Turkey,Kuwait,6,1.791759469228055,0.28668265069483706,TUR,Asia,KWT,57.0,8
122,United Arab Emirates,Kuwait,12,2.4849066497880004,0.3975866389015743,ARE,Asia,KWT,57.0,8
123,United Kingdom of Great Britain and Northern Ireland,Kuwait,3,1.0986122886681098,0.17577866248809984,GBR,Europe,KWT,57.0,8
124,United States of America,Kuwait,2,0.6931471805599453,0.11090398820673722,USA,Americas,KWT,57.0,8
125,Yemen,Kuwait,3,1.0986122886681098,0.17577866248809984,YEM,Asia,KWT,57.0,8
126,Afghanistan,Pakistan,4,1.3862943611198906,0.22180797641347444,AFG,Asia,PAK,59.0,8
127,Bahrain,Pakistan,6,1.791759469228055,0.28668265069483706,BHR,Asia,PAK,59.0,8
128,Bangladesh,Pakistan,1,0.0,0.0,BGD,Asia,PAK,59.0,8
129,Canada,Pakistan,3,1.0986122886681098,0.17577866248809984,CAN,Americas,PAK,59.0,8
130,China,Pakistan,4,1.3862943611198906,0.22180797641347444,CHN,Asia,PAK,59.0,8
131,Denmark,Pakistan,1,0.0,0.0,DNK,Europe,PAK,59.0,8
132,France,Pakistan,2,0.6931471805599453,0.11090398820673722,FRA,Europe,PAK,59.0,8
133,India,Pakistan,3,1.0986122886681098,0.17577866248809984,IND,Asia,PAK,59.0,8
134,Iran (Islamic Republic of),Pakistan,3,1.0986122886681098,0.17577866248809984,IRN,Asia,PAK,59.0,8
135,Italy,Pakistan,1,0.0,0.0,ITA,Europe,PAK,59.0,8
136,Kuwait,Pakistan,6,1.791759469228055,0.28668265069483706,KWT,Asia,PAK,59.0,8
137,Malaysia,Pakistan,3,1.0986122886681098,0.17577866248809984,MYS,Asia,PAK,59.0,8
138,Nepal,Pakistan,1,0.0,0.0,NPL,Asia,PAK,59.0,8
139,Norway,Pakistan,1,0.0,0.0,NOR,Europe,PAK,59.0,8
140,Oman,Pakistan,14,2.6390573296152584,0.4222508453747394,OMN,Asia,PAK,59.0,8
141,Qatar,Pakistan,5,1.6094379124341003,0.25751108605227985,QAT,Asia,PAK,59.0,8
142,Saudi Arabia,Pakistan,40,3.6888794541139363,0.5902230506724915,SAU,Asia,PAK,59.0,8
143,Spain,Pakistan,2,0.6931471805599453,0.11090398820673722,ESP,Europe,PAK,59.0,8
144,Sri Lanka,Pakistan,2,0.6931471805599453,0.11090398820673722,LKA,Asia,PAK,59.0,8
145,Thailand,Pakistan,4,1.3862943611198906,0.22180797641347444,THA,Asia,PAK,59.0,8
146,Turkey,Pakistan,3,1.0986122886681098,0.17577866248809984,TUR,Asia,PAK,59.0,8
147,United Arab Emirates,Pakistan,51,3.9318256327243257,0.629094593229604,ARE,Asia,PAK,59.0,8
148,United Kingdom of Great Britain and Northern Ireland,Pakistan,7,1.9459101490553132,0.3113468571680022,GBR,Europe,PAK,59.0,8
149,United States of America,Pakistan,1,0.0,0.0,USA,Americas,PAK,59.0,8
150,Afghanistan,Tajikistan,1,0.0,0.0,AFG,Asia,TJK,108.0,15
151,China,Tajikistan,4,1.3862943611198906,0.22180797641347444,CHN,Asia,TJK,108.0,15
152,Germany,Tajikistan,1,0.0,0.0,DEU,Europe,TJK,108.0,15
153,India,Tajikistan,1,0.0,0.0,IND,Asia,TJK,108.0,15
154,Iran (Islamic Republic of),Tajikistan,3,1.0986122886681098,0.17577866248809984,IRN,Asia,TJK,108.0,15
155,Kazakhstan,Tajikistan,3,1.0986122886681098,0.17577866248809984,KAZ,Asia,TJK,108.0,15
156,Kyrgyzstan,Tajikistan,2,0.6931471805599453,0.11090398820673722,KGZ,Asia,TJK,108.0,15
157,Russian Federation,Tajikistan,72,4.276666119016055,0.6842692895964113,RUS,Europe,TJK,108.0,15
158,Turkey,Tajikistan,3,1.0986122886681098,0.17577866248809984,TUR,Asia,TJK,108.0,15
159,United Arab Emirates,Tajikistan,3,1.0986122886681098,0.17577866248809984,ARE,Asia,TJK,108.0,15
160,Afghanistan,Turkey,3,1.0986122886681098,0.17577866248809984,AFG,Asia,TUR,61.0,8
161,Albania,Turkey,2,0.6931471805599453,0.11090398820673722,ALB,Europe,TUR,61.0,8
162,Algeria,Turkey,6,1.791759469228055,0.28668265069483706,DZA,Africa,TUR,61.0,8
163,Austria,Turkey,19,2.9444389791664403,0.47111210285402194,AUT,Europe,TUR,61.0,8
164,Azerbaijan,Turkey,6,1.791759469228055,0.28668265069483706,AZE,Asia,TUR,61.0,8
165,Bahrain,Turkey,2,0.6931471805599453,0.11090398820673722,BHR,Asia,TUR,61.0,8
166,Bangladesh,Turkey,1,0.0,0.0,BGD,Asia,TUR,61.0,8
167,Belarus,Turkey,2,0.6931471805599453,0.11090398820673722,BLR,Europe,TUR,61.0,8
168,Belgium,Turkey,8,2.0794415416798357,0.33271196462021163,BEL,Europe,TUR,61.0,8
169,Bosnia and Herzegovina,Turkey,4,1.3862943611198906,0.22180797641347444,BIH,Europe,TUR,61.0,8
170,Brazil,Turkey,1,0.0,0.0,BRA,Americas,TUR,61.0,8
171,Bulgaria,Turkey,1,0.0,0.0,BGR,Europe,TUR,61.0,8
172,Burkina Faso,Turkey,1,0.0,0.0,BFA,Africa,TUR,61.0,8
173,Cameroon,Turkey,1,0.0,0.0,CMR,Africa,TUR,61.0,8
174,Canada,Turkey,2,0.6931471805599453,0.11090398820673722,CAN,Americas,TUR,61.0,8
175,Chad,Turkey,1,0.0,0.0,TCD,Africa,TUR,61.0,8
176,China,Turkey,7,1.9459101490553132,0.3113468571680022,CHN,Asia,TUR,61.0,8
177,"Congo, Democratic Republic of the",Turkey,1,0.0,0.0,COD,Africa,TUR,61.0,8
178,Côte d'Ivoire,Turkey,1,0.0,0.0,CIV,Africa,TUR,61.0,8
179,Croatia,Turkey,2,0.6931471805599453,0.11090398820673722,HRV,Europe,TUR,61.0,8
180,Cyprus,Turkey,14,2.6390573296152584,0.4222508453747394,CYP,Asia,TUR,61.0,8
181,Czechia,Turkey,2,0.6931471805599453,0.11090398820673722,CZE,Europe,TUR,61.0,8
182,Denmark,Turkey,10,2.302585092994046,0.3684150742590171,DNK,Europe,TUR,61.0,8
183,Djibouti,Turkey,1,0.0,0.0,DJI,Africa,TUR,61.0,8
184,Egypt,Turkey,8,2.0794415416798357,0.33271196462021163,EGY,Africa,TUR,61.0,8
185,Estonia,Turkey,1,0.0,0.0,EST,Europe,TUR,61.0,8
186,Ethiopia,Turkey,1,0.0,0.0,ETH,Africa,TUR,61.0,8
187,Finland,Turkey,5,1.6094379124341003,0.25751108605227985,FIN,Europe,TUR,61.0,8
188,France,Turkey,26,3.258096538021482,0.5212975110671989,FRA,Europe,TUR,61.0,8
