,Country,Neighbour,iso-alpha-3,region
321,Haiti,Cuba,HTI,Americas
322,Haiti,Dominican Republic,HTI,Americas
325,Honduras,El Salvador,HND,Americas
326,Honduras,Guatemala,HND,Americas
327,Honduras,Nicaragua,HND,Americas
328,Hong Kong,China,HKG,Asia
329,Hungary,Austria,HUN,Europe
330,Hungary,Croatia,HUN,Europe
331,Hungary,Romania,HUN,Europe
332,Hungary,Serbia,HUN,Europe
333,Hungary,Slovakia,HUN,Europe
334,Hungary,Slovenia,HUN,Europe
335,Hungary,Ukraine,HUN,Europe
336,Iceland,Faroe Islands,ISL,Europe
337,India,Bangladesh,IND,Asia
338,India,Bhutan,IND,Asia
339,India,China,IND,Asia
340,India,Myanmar,IND,Asia
341,India,Nepal,IND,Asia
342,India,Pakistan,IND,Asia
343,Indonesia,East Timor,IDN,Asia
344,Indonesia,Malaysia,IDN,Asia
345,Indonesia,Papua New Guinea,IDN,Asia
346,Iran (Islamic Republic of),Afghanistan,IRN,Asia
347,Iran (Islamic Republic of),Armenia,IRN,Asia
348,Iran (Islamic Republic of),Azerbaijan,IRN,Asia
349,Iran (Islamic Republic of),Iraq,IRN,Asia
350,Iran (Islamic Republic of),Pakistan,IRN,Asia
351,Iran (Islamic Republic of),Turkey,IRN,Asia
352,Iran (Islamic Republic of),Turkmenistan,IRN,Asia
353,Iraq,Iran (Islamic Republic of),IRQ,Asia
354,Iraq,Jordan,IRQ,Asia
355,Iraq,Kuwait,IRQ,Asia
356,Iraq,Saudi Arabia,IRQ,Asia
358,Iraq,Turkey,IRQ,Asia
359,Ireland,United Kingdom of Great Britain and Northern Ireland,IRL,Europe
360,Isle of Man,Ireland,IMN,Europe
361,Isle of Man,United Kingdom of Great Britain and Northern Ireland,IMN,Europe
362,Israel,Egypt,ISR,Asia
363,Israel,Jordan,ISR,Asia
364,Israel,Lebanon,ISR,Asia
367,Italy,Austria,ITA,Europe
368,Italy,France,ITA,Europe
370,Italy,Slovenia,ITA,Europe
371,Italy,Switzerland,ITA,Europe
373,Jamaica,Cuba,JAM,Americas
374,Jamaica,Haiti,JAM,Americas
375,Japan,Korea (Democratic People's Republic of),JPN,Asia
376,Jersey,France,JEY,Europe
377,Jersey,United Kingdom of Great Britain and Northern Ireland,JEY,Europe
378,Jordan,Iraq,JOR,Asia
379,Jordan,Israel,JOR,Asia
380,Jordan,Saudi Arabia,JOR,Asia
382,Kazakhstan,China,KAZ,Asia
383,Kazakhstan,Kyrgyzstan,KAZ,Asia
384,Kazakhstan,Russian Federation,KAZ,Asia
385,Kazakhstan,Turkmenistan,KAZ,Asia
386,Kazakhstan,Uzbekistan,KAZ,Asia
387,Kenya,Ethiopia,KEN,Africa
388,Kenya,Somalia,KEN,Africa
389,Kenya,South Sudan,KEN,Africa
390,Kenya,"Tanzania, United Republic of",KEN,Africa
391,Kenya,Uganda,KEN,Africa
392,Kiribati,United States of America,KIR,Oceania
393,Korea (Democratic People's Republic of),China,PRK,Asia
394,Korea (Democratic People's Republic of),"Korea, Republic of",PRK,Asia
395,Korea (Democratic People's Republic of),Russian Federation,PRK,Asia
396,"Korea, Republic of",Korea (Democratic People's Republic of),KOR,Asia
397,Kuwait,Iraq,KWT,Asia
398,Kuwait,Saudi Arabia,KWT,Asia
399,Kyrgyzstan,China,KGZ,Asia
400,Kyrgyzstan,Kazakhstan,KGZ,Asia
401,Kyrgyzstan,Tajikistan,KGZ,Asia
402,Kyrgyzstan,Uzbekistan,KGZ,Asia
403,Lao People's Democratic Republic,Cambodia,LAO,Asia
404,Lao People's Democratic Republic,China,LAO,Asia
405,Lao People's Democratic Republic,Myanmar,LAO,Asia
406,Lao People's Democratic Republic,Thailand,LAO,Asia
407,Lao People's Democratic Republic,Viet Nam,LAO,Asia
408,Latvia,Belarus,LVA,Europe
409,Latvia,Estonia,LVA,Europe
410,Latvia,Lithuania,LVA,Europe
411,Latvia,Russian Federation,LVA,Europe
412,Lebanon,Israel,LBN,Asia
414,Lesotho,South Africa,LSO,Africa
415,Liberia,Côte d'Ivoire,LBR,Africa
416,Liberia,Guinea,LBR,Africa
417,Liberia,Sierra Leone,LBR,Africa
418,Libya,Algeria,LBY,Africa
419,Libya,Chad,LBY,Africa
420,Libya,Egypt,LBY,Africa
421,Libya,Niger,LBY,Africa
422,Libya,Sudan,LBY,Africa
423,Libya,Tunisia,LBY,Africa
426,Lithuania,Belarus,LTU,Europe
427,Lithuania,Latvia,LTU,Europe
428,Lithuania,Poland,LTU,Europe
429,Lithuania,Russian Federation,LTU,Europe
430,Luxembourg,Belgium,LUX,Europe
431,Luxembourg,France,LUX,Europe
432,Luxembourg,Germany,LUX,Europe
433,Macao,China,MAC,Asia
434,Madagascar,Mayotte,MDG,Africa
435,Malawi,Mozambique,MWI,Africa
436,Malawi,"Tanzania, United Republic of",MWI,Africa
437,Malawi,Zambia,MWI,Africa
438,Malaysia,Brunei,MYS,Asia
439,Malaysia,Indonesia,MYS,Asia
440,Malaysia,Philippines,MYS,Asia
441,Malaysia,Singapore,MYS,Asia
442,Malaysia,Thailand,MYS,Asia
443,Maldives,Sri Lanka,MDV,Asia
444,Mali,Algeria,MLI,Africa
445,Mali,Burkina Faso,MLI,Africa
446,Mali,Côte d'Ivoire,MLI,Africa
447,Mali,Guinea,MLI,Africa
448,Mali,Mauritania,MLI,Africa
449,Mali,Niger,MLI,Africa
450,Mali,Senegal,MLI,Africa
451,Malta,Italy,MLT,Europe
452,Malta,Tunisia,MLT,Europe
453,Marshall Islands,Nauru,MHL,Oceania
454,Martinique,Dominica,MTQ,Americas
455,Mauritania,Algeria,MRT,Africa
456,Mauritania,Mali,MRT,Africa
457,Mauritania,Senegal,MRT,Africa
458,Mauritania,Western Sahara,MRT,Africa
459,Mauritius,Réunion,MUS,Africa
460,Mayotte,Mozambique,MYT,Africa
461,Mexico,Belize,MEX,Americas
462,Mexico,Guatemala,MEX,Americas
463,Mexico,United States of America,MEX,Americas
464,Micronesia (Federated States of),Papua New Guinea,FSM,Oceania
465,"Moldova, Republic of",Romania,MDA,Europe
466,"Moldova, Republic of",Ukraine,MDA,Europe
468,Mongolia,China,MNG,Asia
469,Mongolia,Russian Federation,MNG,Asia
470,Montenegro,Albania,MNE,Europe
471,Montenegro,Bosnia and Herzegovina,MNE,Europe
472,Montenegro,Croatia,MNE,Europe
474,Montenegro,Serbia,MNE,Europe
477,Morocco,Algeria,MAR,Africa
478,Morocco,Spain,MAR,Africa
479,Morocco,Western Sahara,MAR,Africa
480,Mozambique,Madagascar,MOZ,Africa
481,Mozambique,Malawi,MOZ,Africa
482,Mozambique,South Africa,MOZ,Africa
483,Mozambique,Swaziland,MOZ,Africa
484,Mozambique,"Tanzania, United Republic of",MOZ,Africa
485,Mozambique,Zambia,MOZ,Africa
486,Mozambique,Zimbabwe,MOZ,Africa
487,Myanmar,Bangladesh,MMR,Asia
488,Myanmar,China,MMR,Asia
489,Myanmar,India,MMR,Asia
490,Myanmar,Lao People's Democratic Republic,MMR,Asia
491,Myanmar,Thailand,MMR,Asia
492,Namibia,Angola,NAM,Africa
493,Namibia,Botswana,NAM,Africa
494,Namibia,South Africa,NAM,Africa
495,Namibia,Zambia,NAM,Africa
496,Nauru,Micronesia (Federated States of),NRU,Oceania
497,Nepal,China,NPL,Asia
498,Nepal,India,NPL,Asia
499,Netherlands,Belgium,NLD,Europe
500,Netherlands,Germany,NLD,Europe
501,New Caledonia,Australia,NCL,Oceania
502,New Caledonia,Vanuatu,NCL,Oceania
503,New Zealand,Australia,NZL,Oceania
504,Nicaragua,Costa Rica,NIC,Americas
505,Nicaragua,Honduras,NIC,Americas
506,Niger,Algeria,NER,Africa
507,Niger,Benin,NER,Africa
508,Niger,Burkina Faso,NER,Africa
509,Niger,Chad,NER,Africa
510,Niger,Libya,NER,Africa
511,Niger,Mali,NER,Africa
512,Niger,Nigeria,NER,Africa
513,Nigeria,Benin,NGA,Africa
514,Nigeria,Cameroon,NGA,Africa
515,Nigeria,Chad,NGA,Africa
516,Nigeria,Niger,NGA,Africa
517,Niue,Tonga,NIU,Oceania
519,Norfolk Island,New Zealand,NFK,Oceania
520,North Macedonia,Albania,MKD,Europe
521,North Macedonia,Bulgaria,MKD,Europe
522,North Macedonia,Greece,MKD,Europe
524,North Macedonia,Serbia,MKD,Europe
525,Northern Mariana Islands,Guam,MNP,Oceania
526,Norway,Finland,NOR,Europe
527,Norway,Russian Federation,NOR,Europe
528,Norway,Sweden,NOR,Europe
529,Oman,Saudi Arabia,OMN,Asia
530,Oman,United Arab Emirates,OMN,Asia
531,Oman,Yemen,OMN,Asia
532,Pakistan,Afghanistan,PAK,Asia
533,Pakistan,China,PAK,Asia
534,Pakistan,India,PAK,Asia
535,Pakistan,Iran (Islamic Republic of),PAK,Asia
536,Palau,Guam,PLW,Oceania
537,Palau,Indonesia,PLW,Oceania
538,Palau,Philippines,PLW,Oceania
542,Panama,Colombia,PAN,Americas
543,Panama,Costa Rica,PAN,Americas
544,Papua New Guinea,Australia,PNG,Oceania
545,Papua New Guinea,Indonesia,PNG,Oceania
546,Papua New Guinea,Solomon Islands,PNG,Oceania
547,Paraguay,Argentina,PRY,Americas
548,Paraguay,Bolivia,PRY,Americas
549,Paraguay,Brazil,PRY,Americas
550,Peru,Bolivia,PER,Americas
551,Peru,Brazil,PER,Americas
552,Peru,Chile,PER,Americas
553,Peru,Colombia,PER,Americas
554,Peru,Ecuador,PER,Americas
555,Philippines,Indonesia,PHL,Asia
557,Poland,Belarus,POL,Europe
558,Poland,Czechia,POL,Europe
559,Poland,Germany,POL,Europe
560,Poland,Lithuania,POL,Europe
561,Poland,Russian Federation,POL,Europe
562,Poland,Slovakia,POL,Europe
563,Poland,Ukraine,POL,Europe
564,Portugal,Spain,PRT,Europe
565,Puerto Rico,Dominican Republic,PRI,Americas
566,Qatar,Saudi Arabia,QAT,Asia
567,Réunion,Madagascar,REU,Africa
568,Romania,Bulgaria,ROU,Europe
569,Romania,Hungary,ROU,Europe
570,Romania,"Moldova, Republic of",ROU,Europe
571,Romania,Serbia,ROU,Europe
572,Romania,Ukraine,ROU,Europe
573,Russian Federation,Azerbaijan,RUS,Europe
574,Russian Federation,Belarus,RUS,Europe
575,Russian Federation,China,RUS,Europe
576,Russian Federation,Estonia,RUS,Europe
577,Russian Federation,Finland,RUS,Europe
578,Russian Federation,Georgia,RUS,Europe
579,Russian Federation,Kazakhstan,RUS,Europe
580,Russian Federation,Korea (Democratic People's Republic of),RUS,Europe
581,Russian Federation,Latvia,RUS,Europe
582,Russian Federation,Lithuania,RUS,Europe
583,Russian Federation,Mongolia,RUS,Europe
584,Russian Federation,Norway,RUS,Europe
585,Russian Federation,Poland,RUS,Europe
586,Russian Federation,Ukraine,RUS,Europe
587,Rwanda,Burundi,RWA,Africa
588,Rwanda,"Congo, Democratic Republic of the",RWA,Africa
589,Rwanda,"Tanzania, United Republic of",RWA,Africa
590,Rwanda,Uganda,RWA,Africa
595,Saint Lucia,Barbados,LCA,Americas
596,Saint Lucia,Martinique,LCA,Americas
597,Saint Lucia,Saint Vincent and the Grenadines,LCA,Americas
600,Saint Pierre and Miquelon,Canada,SPM,Americas
601,Saint Vincent and the Grenadines,Barbados,VCT,Americas
602,Saint Vincent and the Grenadines,Grenada,VCT,Americas
605,Sao Tome and Principe,Gabon,STP,Africa
606,Saudi Arabia,Iraq,SAU,Asia
607,Saudi Arabia,Jordan,SAU,Asia
608,Saudi Arabia,Kuwait,SAU,Asia
609,Saudi Arabia,Oman,SAU,Asia
610,Saudi Arabia,Qatar,SAU,Asia
611,Saudi Arabia,United Arab Emirates,SAU,Asia
612,Saudi Arabia,Yemen,SAU,Asia
613,Senegal,Gambia,SEN,Africa
614,Senegal,Guinea,SEN,Africa
615,Senegal,Guinea-Bissau,SEN,Africa
616,Senegal,Mali,SEN,Africa
617,Senegal,Mauritania,SEN,Africa
618,Serbia,Bosnia and Herzegovina,SRB,Europe
619,Serbia,Bulgaria,SRB,Europe
620,Serbia,Croatia,SRB,Europe
621,Serbia,Hungary,SRB,Europe
623,Serbia,Montenegro,SRB,Europe
624,Serbia,North Macedonia,SRB,Europe
625,Serbia,Romania,SRB,Europe
