,Country,Neighbour,iso-alpha-3,region
693,Taiwan,China,TWN,Asia
694,Taiwan,Philippines,TWN,Asia
695,Tajikistan,Afghanistan,TJK,Asia
696,Tajikistan,China,TJK,Asia
697,Tajikistan,Kyrgyzstan,TJK,Asia
698,Tajikistan,Uzbekistan,TJK,Asia
699,"Tanzania, United Republic of",Burundi,TZA,Africa
700,"Tanzania, United Republic of","Congo, Democratic Republic of the",TZA,Africa
701,"Tanzania, United Republic of",Kenya,TZA,Africa
702,"Tanzania, United Republic of",Malawi,TZA,Africa
703,"Tanzania, United Republic of",Mozambique,TZA,Africa
704,"Tanzania, United Republic of",Rwanda,TZA,Africa
705,"Tanzania, United Republic of",Uganda,TZA,Africa
706,"Tanzania, United Republic of",Zambia,TZA,Africa
707,Thailand,Cambodia,THA,Asia
708,Thailand,Lao People's Democratic Republic,THA,Asia
709,Thailand,Malaysia,THA,Asia
710,Thailand,Myanmar,THA,Asia
712,Togo,Benin,TGO,Africa
713,Togo,Burkina Faso,TGO,Africa
714,Togo,Ghana,TGO,Africa
719,Tonga,American Samoa,TON,Oceania
720,Tonga,Fiji,TON,Oceania
721,Trinidad and Tobago,Grenada,TTO,Americas
722,Trinidad and Tobago,Venezuela (Bolivarian Republic of),TTO,Americas
723,Tunisia,Algeria,TUN,Africa
724,Tunisia,Libya,TUN,Africa
725,Turkey,Armenia,TUR,Asia
726,Turkey,Azerbaijan,TUR,Asia
727,Turkey,Bulgaria,TUR,Asia
728,Turkey,Georgia,TUR,Asia
729,Turkey,Greece,TUR,Asia
730,Turkey,Iran (Islamic Republic of),TUR,Asia
731,Turkey,Iraq,TUR,Asia
733,Turkmenistan,Afghanistan,TKM,Asia
734,Turkmenistan,Iran (Islamic Republic of),TKM,Asia
735,Turkmenistan,Kazakhstan,TKM,Asia
736,Turkmenistan,Uzbekistan,TKM,Asia
737,Turks and Caicos Islands,Bahamas,TCA,Americas
738,Tuvalu,Wallis and Futuna,TUV,Oceania
739,Uganda,"Congo, Democratic Republic of the",UGA,Africa
740,Uganda,Kenya,UGA,Africa
741,Uganda,Rwanda,UGA,Africa
742,Uganda,South Sudan,UGA,Africa
743,Uganda,"Tanzania, United Republic of",UGA,Africa
744,Ukraine,Belarus,UKR,Europe
745,Ukraine,Hungary,UKR,Europe
746,Ukraine,"Moldova, Republic of",UKR,Europe
747,Ukraine,Poland,UKR,Europe
748,Ukraine,Romania,UKR,Europe
749,Ukraine,Russian Federation,UKR,Europe
750,Ukraine,Slovakia,UKR,Europe
751,United Arab Emirates,Oman,ARE,Asia
752,United Arab Emirates,Saudi Arabia,ARE,Asia
753,United Kingdom of Great Britain and Northern Ireland,Ireland,GBR,Europe
755,United States of America,Canada,USA,Americas
756,United States of America,Mexico,USA,Americas
757,Uruguay,Argentina,URY,Americas
758,Uruguay,Brazil,URY,Americas
759,Uzbekistan,Afghanistan,UZB,Asia
760,Uzbekistan,Kazakhstan,UZB,Asia
761,Uzbekistan,Kyrgyzstan,UZB,Asia
762,Uzbekistan,Tajikistan,UZB,Asia
763,Uzbekistan,Turkmenistan,UZB,Asia
764,Vanuatu,Fiji,VUT,Oceania
765,Vanuatu,Papua New Guinea,VUT,Oceania
766,Venezuela (Bolivarian Republic of),Brazil,VEN,Americas
767,Venezuela (Bolivarian Republic of),Colombia,VEN,Americas
768,Venezuela (Bolivarian Republic of),Grenada,VEN,Americas
769,Venezuela (Bolivarian Republic of),Guyana,VEN,Americas
770,Viet Nam,Cambodia,VNM,Asia
771,Viet Nam,China,VNM,Asia
772,Viet Nam,Lao People's Democratic Republic,VNM,Asia
773,Virgin Islands (British),Anguilla,VGB,Americas
774,Virgin Islands (British),Puerto Rico,VGB,Americas
778,Wallis and Futuna,Samoa,WLF,Oceania
779,Western Sahara,Algeria,ESH,Africa
780,Western Sahara,Mauritania,ESH,Africa
781,Western Sahara,Morocco,ESH,Africa
782,Yemen,Oman,YEM,Asia
783,Yemen,Saudi Arabia,YEM,Asia
784,Zambia,Angola,ZMB,Africa
785,Zambia,Botswana,ZMB,Africa
786,Zambia,"Congo, Democratic Republic of the",ZMB,Africa
787,Zambia,Malawi,ZMB,Africa
788,Zambia,Mozambique,ZMB,Africa
789,Zambia,Namibia,ZMB,Africa
790,Zambia,"Tanzania, United Republic of",ZMB,Africa
791,Zambia,Zimbabwe,ZMB,Africa
792,Zimbabwe,Botswana,ZWE,Africa
793,Zimbabwe,Mozambique,ZWE,Africa
794,Zimbabwe,South Africa,ZWE,Africa
795,Zimbabwe,Zambia,ZWE,Africa
