,src,trg,iso_code_src,region,iso_code_trg,days_to_first_100_cases,weeks_since_100_cases
296,Togo,Burkina Faso,TGO,Africa,BFA,68.0,9
297,Benin,Nigeria,BEN,Africa,NGA,73.0,10
298,Cameroon,Nigeria,CMR,Africa,NGA,73.0,10
299,Chad,Nigeria,TCD,Africa,NGA,73.0,10
300,Niger,Nigeria,NER,Africa,NGA,73.0,10
301,Benin,Togo,BEN,Africa,TGO,103.0,14
302,Burkina Faso,Togo,BFA,Africa,TGO,103.0,14
303,Ghana,Togo,GHA,Africa,TGO,103.0,14
304,Bolivia,Argentina,BOL,Americas,ARG,62.0,8
305,Brazil,Argentina,BRA,Americas,ARG,62.0,8
306,Chile,Argentina,CHL,Americas,ARG,62.0,8
307,Falkland Islands (Malvinas),Argentina,FLK,Americas,ARG,62.0,8
308,Paraguay,Argentina,PRY,Americas,ARG,62.0,8
309,Uruguay,Argentina,URY,Americas,ARG,62.0,8
310,Bolivia,Peru,BOL,Americas,PER,60.0,8
311,Brazil,Peru,BRA,Americas,PER,60.0,8
312,Chile,Peru,CHL,Americas,PER,60.0,8
313,Colombia,Peru,COL,Americas,PER,60.0,8
314,Ecuador,Peru,ECU,Americas,PER,60.0,8
315,Bosnia and Herzegovina,Croatia,BIH,Europe,HRV,62.0,8
316,Hungary,Croatia,HUN,Europe,HRV,62.0,8
317,Montenegro,Croatia,MNE,Europe,HRV,62.0,8
318,Serbia,Croatia,SRB,Europe,HRV,62.0,8
319,Slovenia,Croatia,SVN,Europe,HRV,62.0,8
320,Bosnia and Herzegovina,Serbia,BIH,Europe,SRB,62.0,8
321,Bulgaria,Serbia,BGR,Europe,SRB,62.0,8
322,Croatia,Serbia,HRV,Europe,SRB,62.0,8
323,Hungary,Serbia,HUN,Europe,SRB,62.0,8
324,Montenegro,Serbia,MNE,Europe,SRB,62.0,8
325,North Macedonia,Serbia,MKD,Europe,SRB,62.0,8
326,Romania,Serbia,ROU,Europe,SRB,62.0,8
327,Botswana,South Africa,BWA,Africa,ZAF,61.0,8
328,Lesotho,South Africa,LSO,Africa,ZAF,61.0,8
329,Mozambique,South Africa,MOZ,Africa,ZAF,61.0,8
330,Namibia,South Africa,NAM,Africa,ZAF,61.0,8
331,Swaziland,South Africa,SWZ,Africa,ZAF,61.0,8
332,Zimbabwe,South Africa,ZWE,Africa,ZAF,61.0,8
333,Botswana,Zimbabwe,BWA,Africa,ZWE,131.0,18
334,Mozambique,Zimbabwe,MOZ,Africa,ZWE,131.0,18
335,South Africa,Zimbabwe,ZAF,Africa,ZWE,131.0,18
336,Zambia,Zimbabwe,ZMB,Africa,ZWE,131.0,18
337,Brazil,Colombia,BRA,Americas,COL,61.0,8
338,Ecuador,Colombia,ECU,Americas,COL,61.0,8
339,Panama,Colombia,PAN,Americas,COL,61.0,8
340,Peru,Colombia,PER,Americas,COL,61.0,8
341,Venezuela (Bolivarian Republic of),Colombia,VEN,Americas,COL,61.0,8
342,Brazil,Guyana,BRA,Americas,GUY,114.0,16
343,Suriname,Guyana,SUR,Americas,GUY,114.0,16
344,Venezuela (Bolivarian Republic of),Guyana,VEN,Americas,GUY,114.0,16
345,Brazil,Suriname,BRA,Americas,SUR,142.0,20
346,French Guiana,Suriname,GUF,Americas,SUR,142.0,20
347,Guyana,Suriname,GUY,Americas,SUR,142.0,20
348,Brunei,Malaysia,BRN,Asia,MYS,52.0,7
349,Indonesia,Malaysia,IDN,Asia,MYS,52.0,7
350,Thailand,Malaysia,THA,Asia,MYS,52.0,7
351,Bulgaria,Romania,BGR,Europe,ROU,57.0,8
352,Hungary,Romania,HUN,Europe,ROU,57.0,8
353,"Moldova, Republic of",Romania,MDA,Europe,ROU,57.0,8
354,Serbia,Romania,SRB,Europe,ROU,57.0,8
355,Ukraine,Romania,UKR,Europe,ROU,57.0,8
356,Burkina Faso,Benin,BFA,Africa,BEN,110.0,15
357,Niger,Benin,NER,Africa,BEN,110.0,15
358,Nigeria,Benin,NGA,Africa,BEN,110.0,15
359,Togo,Benin,TGO,Africa,BEN,110.0,15
360,Burkina Faso,Côte d'Ivoire,BFA,Africa,CIV,70.0,10
361,Ghana,Côte d'Ivoire,GHA,Africa,CIV,70.0,10
362,Guinea,Côte d'Ivoire,GIN,Africa,CIV,70.0,10
363,Liberia,Côte d'Ivoire,LBR,Africa,CIV,70.0,10
364,Mali,Côte d'Ivoire,MLI,Africa,CIV,70.0,10
365,Burkina Faso,Ghana,BFA,Africa,GHA,69.0,9
366,Côte d'Ivoire,Ghana,CIV,Africa,GHA,69.0,9
367,Togo,Ghana,TGO,Africa,GHA,69.0,9
368,Burundi,Rwanda,BDI,Africa,RWA,78.0,11
369,"Congo, Democratic Republic of the",Rwanda,COD,Africa,RWA,78.0,11
370,"Tanzania, United Republic of",Rwanda,TZA,Africa,RWA,78.0,11
371,Uganda,Rwanda,UGA,Africa,RWA,78.0,11
