,src,trg,iso_code_src,region,iso_code_trg,kmdist,proximity,log-prox,norm-log-prox
119,Burundi,"Congo, Democratic Republic of the",BDI,Africa,COD,2852.0,0.0003506311360448808,0.1256948445330822,0.0920820781293364
120,Burundi,Rwanda,BDI,Africa,RWA,234.0,0.004273504273504274,0.18330726621844892,0.34342274715268356
121,Burundi,"Tanzania, United Republic of",BDI,Africa,TZA,1158.0,0.0008635578583765112,0.14175450225902728,0.1621441411193086
123,Cabo Verde,Mauritania,CPV,Africa,MRT,879.0,0.0011376564277588168,0.14751906353327135,0.18729268799357737
124,Cabo Verde,Senegal,CPV,Africa,SEN,730.0,0.0013698630136986301,0.15167499549281763,0.20542340856686622
125,Cambodia,Lao People's Democratic Republic,KHM,Asia,LAO,710.0,0.0014084507042253522,0.15231677694108572,0.2082232523133312
126,Cambodia,Thailand,KHM,Asia,THA,521.0,0.0019193857965451055,0.1598529342326023,0.24110058605672519
127,Cambodia,Viet Nam,KHM,Asia,VNM,205.0,0.004878048780487805,0.1878636342819447,0.3633004152647761
128,Cameroon,Central African Republic,CMR,Africa,CAF,802.0,0.0012468827930174563,0.1495414623330074,0.19611563020790865
129,Cameroon,Chad,CMR,Africa,TCD,1065.0,0.0009389671361502347,0.14345699643936355,0.16957146345321353
130,Cameroon,Congo,CMR,Africa,COG,898.0,0.0011135857461024498,0.14705514567368316,0.1852687941562803
131,Cameroon,Equatorial Guinea,CMR,Africa,GNQ,205.0,0.004878048780487805,0.1878636342819447,0.3633004152647761
132,Cameroon,Gabon,CMR,Africa,GAB,405.0,0.0024691358024691358,0.16655876248550613,0.2703555159856403
133,Cameroon,Nigeria,CMR,Africa,NGA,963.0,0.0010384215991692627,0.14555927589772058,0.1787428940246124
134,Canada,Greenland,CAN,Americas,GRL,2558.0,0.00039093041438623924,0.12743754601625631,0.09968480934381366
135,Canada,United States of America,CAN,Americas,USA,731.0,0.0013679890560875513,0.15164350948021152,0.20528604729577585
137,Cayman Islands,Cuba,CYM,Americas,CUB,429.0,0.002331002331002331,0.16497683863384652,0.26345419527061287
138,Cayman Islands,Jamaica,CYM,Americas,JAM,508.0,0.001968503937007874,0.16050124029960103,0.2439288941861983
140,Central African Republic,Chad,CAF,Africa,TCD,974.0,0.001026694045174538,0.14531902772192534,0.1776947843380281
141,Central African Republic,Congo,CAF,Africa,COG,970.0,0.0010309278350515464,0.14540598363133506,0.17807413927238458
142,Central African Republic,"Congo, Democratic Republic of the",CAF,Africa,COD,1031.0,0.0009699321047526673,0.14412784634351633,0.17249812160767947
143,Central African Republic,South Sudan,CAF,Africa,SSD,1444.0,0.0006925207756232687,0.1374537888712468,0.14338179528240433
144,Central African Republic,Sudan,CAF,Africa,SDN,1961.0,0.0005099439061703213,0.13190506831041257,0.11917487779506147
148,Chad,Libya,TCD,Africa,LBY,2243.0,0.00044583147570218456,0.1296080601083177,0.10915392117880321
149,Chad,Niger,TCD,Africa,NER,1397.0,0.0007158196134574087,0.13808183204679822,0.14612170426905846
150,Chad,Nigeria,TCD,Africa,NGA,1441.0,0.0006939625260235947,0.13749309345381333,0.14355326594426798
151,Chad,Sudan,TCD,Africa,SDN,1938.0,0.0005159958720330237,0.1321106616233168,0.12007180174480063
155,Chile,Peru,CHL,Americas,PER,2425.0,0.0004123711340206186,0.1283106258042048,0.10349371811026238
158,China,Hong Kong,CHN,Asia,HKG,1973.0,0.0005068423720223011,0.1317990082528223,0.11871217886570598
159,China,India,CHN,Asia,IND,3780.0,0.00026455026455026457,0.12139635985273596,0.07332945527926721
161,China,Kazakhstan,CHN,Asia,KAZ,3280.0,0.0003048780487804878,0.12352390933480442,0.08261112917111793
162,China,Korea (Democratic People's Republic of),CHN,Asia,PRK,820.0,0.0012195121951219512,0.14904674900490525,0.19395738767578563
163,China,Kyrgyzstan,CHN,Asia,KGZ,3497.0,0.00028595939376608524,0.12255411495942849,0.07838029213994384
164,China,Lao People's Democratic Republic,CHN,Asia,LAO,2780.0,0.00035971223021582735,0.12610012576432889,0.09385016308088467
165,China,Macao,CHN,Asia,MAC,1990.0,0.0005025125628140704,0.13165014380571155,0.11806274097304217
166,China,Mongolia,CHN,Asia,MNG,1166.0,0.0008576329331046312,0.14161629347082347,0.16154118973702233
167,China,Myanmar,CHN,Asia,MMR,3222.0,0.00031036623215394165,0.12379673345103236,0.08380135506151562
168,China,Nepal,CHN,Asia,NPL,3159.0,0.00031655587211142766,0.12410010667899093,0.08512485488756526
169,China,Pakistan,CHN,Asia,PAK,3910.0,0.0002557544757033248,0.12090008683706638,0.07116440843472
171,China,Russian Federation,CHN,Asia,RUS,5869.0,0.0001703867779860283,0.11524136760918957,0.046477609391327515
172,China,Tajikistan,CHN,Asia,TJK,4080.0,0.00024509803921568627,0.12028118468274716,0.06846437818124268
173,China,Viet Nam,CHN,Asia,VNM,3290.0,0.00030395136778115504,0.12347747879394032,0.08240857071475532
178,Colombia,Ecuador,COL,Americas,ECU,705.0,0.0014184397163120568,0.15248091473715275,0.20893932190854458
179,Colombia,Panama,COL,Americas,PAN,760.0,0.0013157894736842105,0.1507541074739977,0.20140593101645501
181,Colombia,Peru,COL,Americas,PER,1880.0,0.0005319148936170213,0.13264311065543757,0.12239467052967691
182,Colombia,Venezuela (Bolivarian Republic of),COL,Americas,VEN,991.0,0.0010090817356205853,0.1449545411719404,0.1761046707714863
183,Comoros,Mayotte,COM,Africa,MYT,750.0,0.0013333333333333333,0.1510557313797606,0.20272179922768732
184,Comoros,Mozambique,COM,Africa,MOZ,2019.0,0.0004952947003467063,0.13139986977664433,0.1169708923739943
188,Congo,"Congo, Democratic Republic of the",COG,Africa,COD,20.0,0.05,0.33380820069533407,1.0
189,Congo,Gabon,COG,Africa,GAB,790.0,0.0012658227848101266,0.1498793558386567,0.19758972862773092
194,"Congo, Democratic Republic of the",Rwanda,COD,Africa,RWA,2788.0,0.0003586800573888092,0.1260544490608299,0.09365089332480828
195,"Congo, Democratic Republic of the",South Sudan,COD,Africa,SSD,2705.0,0.0003696857670979667,0.1265365140475175,0.09575395604500575
196,"Congo, Democratic Republic of the","Tanzania, United Republic of",COD,Africa,TZA,3564.0,0.0002805836139169473,0.12226973532502892,0.07713965400192307
197,"Congo, Democratic Republic of the",Uganda,COD,Africa,UGA,2946.0,0.00033944331296673454,0.12518459098522822,0.08985603964080453
198,"Congo, Democratic Republic of the",Zambia,COD,Africa,ZMB,1880.0,0.0005319148936170213,0.13264311065543757,0.12239467052967691
200,Costa Rica,Nicaragua,CRI,Americas,NIC,337.0,0.002967359050445104,0.1718188575604124,0.2933032723301571
201,Costa Rica,Panama,CRI,Americas,PAN,523.0,0.0019120458891013384,0.15975508997539395,0.24067372948053156
204,Côte d'Ivoire,Ghana,CIV,Africa,GHA,619.0,0.0016155088852988692,0.15556683619500927,0.22240200132873922
205,Côte d'Ivoire,Guinea,CIV,Africa,GIN,975.0,0.0010256410256410256,0.14529736074086197,0.17760025969634707
206,Côte d'Ivoire,Liberia,CIV,Africa,LBR,608.0,0.001644736842105263,0.15600198409770594,0.22430038299346386
207,Côte d'Ivoire,Mali,CIV,Africa,MLI,726.0,0.0013774104683195593,0.15180150401129003,0.20597531620657028
209,Croatia,Hungary,HRV,Europe,HUN,328.0,0.003048780487804878,0.17262172464996708,0.29680587030334316
210,Croatia,Montenegro,HRV,Europe,MNE,394.0,0.0025380710659898475,0.16732618535571803,0.27370348456568466
211,Croatia,Serbia,HRV,Europe,SRB,373.0,0.002680965147453083,0.16887389292737767,0.2804555329110546
212,Croatia,Slovenia,HRV,Europe,SVN,155.0,0.0064516129032258064,0.19827795135597165,0.4087340447536063
214,Cuba,Mexico,CUB,Americas,MEX,1788.0,0.0005592841163310962,0.13353179798174578,0.12627166893753253
215,Cuba,United States of America,CUB,Americas,USA,1813.0,0.0005515719801434088,0.13328467179709713,0.1251935531637852
217,Cyprus,Greece,CYP,Asia,GRC,924.0,0.0010822510822510823,0.14644049851696134,0.18258732680836284
218,Cyprus,Turkey,CYP,Asia,TUR,456.0,0.0021929824561403508,0.16333216405677026,0.25627911745865145
220,Czechia,Germany,CZE,Europe,DEU,237.0,0.004219409282700422,0.18288021239510488,0.34155967681944094
222,Czechia,Poland,CZE,Europe,POL,517.0,0.0019342359767891683,0.16005011810657205,0.24196082288333925
223,Czechia,Slovakia,CZE,Europe,SVK,295.0,0.003389830508474576,0.1758403962284105,0.3108476870544324
224,Denmark,Germany,DNK,Europe,DEU,342.0,0.0029239766081871343,0.1713851648431404,0.291411239075506
226,Denmark,Sweden,DNK,Europe,SWE,552.0,0.0018115942028985507,0.1583895446221668,0.23471638430007358
227,Djibouti,Eritrea,DJI,Africa,ERI,613.0,0.0016313213703099511,0.1558029202111948,0.22343194440070105
228,Djibouti,Ethiopia,DJI,Africa,ETH,549.0,0.0018214936247723133,0.15852637831706057,0.23531333668314394
230,Djibouti,Somalia,DJI,Africa,SOM,1085.0,0.0009216589861751152,0.14307512258972524,0.16790549583645925
231,Dominica,Guadeloupe,DMA,Americas,GLP,84.0,0.011904761904761904,0.22569202144874392,0.5283310086757185
232,Dominican Republic,Haiti,DOM,Americas,HTI,246.0,0.0040650406504065045,0.18164210338163472,0.3361582870033891
233,Dominican Republic,Puerto Rico,DOM,Americas,PRI,400.0,0.0025,0.16690410034766703,0.2718620912479792
234,East Timor,Indonesia,TLS,Asia,IDN,2085.0,0.00047961630695443646,0.13084682265126696,0.11455816209070724
236,Ecuador,Peru,ECU,Americas,PER,1349.0,0.0007412898443291327,0.1387517009156389,0.14904408254664256
237,Egypt,Israel,EGY,Africa,ISR,401.0,0.0024937655860349127,0.16683457378359495,0.2715587737928616
238,Egypt,Libya,EGY,Africa,LBY,1712.0,0.0005841121495327102,0.1343108015614102,0.1296701596649961
239,Egypt,Sudan,EGY,Africa,SDN,1667.0,0.0005998800239952009,0.1347930361880714,0.13177396245865705
241,El Salvador,Guatemala,SLV,Americas,GTM,171.0,0.005847953216374269,0.19448958279957862,0.3922068608648464
242,El Salvador,Honduras,SLV,Americas,HND,201.0,0.004975124378109453,0.18856166434639035,0.36634564992535523
244,Equatorial Guinea,Gabon,GNQ,Africa,GAB,225.0,0.0044444444444444444,0.18463468653442752,0.3492137675703861
246,Eritrea,Ethiopia,ERI,Africa,ETH,704.0,0.0014204545454545455,0.15251392462592742,0.20908333126080408
248,Eritrea,South Sudan,ERI,Africa,SSD,1415.0,0.0007067137809187279,0.1378381636895128,0.14505867365607011
249,Eritrea,Sudan,ERI,Africa,SDN,671.0,0.0014903129657228018,0.1536388799411723,0.21399107534243916
251,Estonia,Latvia,EST,Europe,LVA,329.0,0.00303951367781155,0.17253106214615435,0.2964103449340388
252,Estonia,Russian Federation,EST,Europe,RUS,898.0,0.0011135857461024498,0.14705514567368316,0.1852687941562803
254,Ethiopia,Djibouti,ETH,Africa,DJI,549.0,0.0018214936247723133,0.15852637831706057,0.23531333668314394
256,Ethiopia,Eritrea,ETH,Africa,ERI,704.0,0.0014204545454545455,0.15251392462592742,0.20908333126080408
257,Ethiopia,Kenya,ETH,Africa,KEN,1133.0,0.00088261253309797,0.14219443025580086,0.16406337648204045
259,Ethiopia,Somalia,ETH,Africa,SOM,1070.0,0.0009345794392523365,0.1433606679689497,0.16915121966738492
261,Ethiopia,South Sudan,ETH,Africa,SSD,915.0,0.001092896174863388,0.14665070184493903,0.1835043624673285
262,Ethiopia,Sudan,ETH,Africa,SDN,936.0,0.0010683760683760685,0.14616430921003037,0.18138241989505471
267,Faroe Islands,United Kingdom of Great Britain and Northern Ireland,FRO,Europe,GBR,1235.0,0.0008097165991902834,0.1404725954832445,0.15655167863942226
268,Fiji,New Caledonia,FJI,Oceania,NCL,1332.0,0.0007507507507507507,0.1389962856991451,0.15011111117208553
269,Fiji,Samoa,FJI,Oceania,WSM,823.0,0.001215066828675577,0.1489656673015593,0.19360365962602896
