,src,trg,iso_code_src,region,iso_code_trg
179,Colombia,Venezuela (Bolivarian Republic of),COL,Americas,VEN
180,Comoros,Mayotte,COM,Africa,MYT
181,Comoros,Mozambique,COM,Africa,MOZ
182,Congo,Angola,COG,Africa,AGO
183,Congo,Cameroon,COG,Africa,CMR
184,Congo,Central African Republic,COG,Africa,CAF
185,Congo,"Congo, Democratic Republic of the",COG,Africa,COD
186,Congo,Gabon,COG,Africa,GAB
187,"Congo, Democratic Republic of the",Angola,COD,Africa,AGO
188,"Congo, Democratic Republic of the",Burundi,COD,Africa,BDI
189,"Congo, Democratic Republic of the",Central African Republic,COD,Africa,CAF
190,"Congo, Democratic Republic of the",Congo,COD,Africa,COG
191,"Congo, Democratic Republic of the",Rwanda,COD,Africa,RWA
192,"Congo, Democratic Republic of the",South Sudan,COD,Africa,SSD
193,"Congo, Democratic Republic of the","Tanzania, United Republic of",COD,Africa,TZA
194,"Congo, Democratic Republic of the",Uganda,COD,Africa,UGA
195,"Congo, Democratic Republic of the",Zambia,COD,Africa,ZMB
196,Cook Islands,Niue,COK,Oceania,NIU
197,Costa Rica,Nicaragua,CRI,Americas,NIC
198,Costa Rica,Panama,CRI,Americas,PAN
199,Côte d'Ivoire,Burkina Faso,CIV,Africa,BFA
200,Côte d'Ivoire,Ghana,CIV,Africa,GHA
201,Côte d'Ivoire,Guinea,CIV,Africa,GIN
202,Côte d'Ivoire,Liberia,CIV,Africa,LBR
203,Côte d'Ivoire,Mali,CIV,Africa,MLI
204,Croatia,Bosnia and Herzegovina,HRV,Europe,BIH
205,Croatia,Hungary,HRV,Europe,HUN
206,Croatia,Montenegro,HRV,Europe,MNE
207,Croatia,Serbia,HRV,Europe,SRB
208,Croatia,Slovenia,HRV,Europe,SVN
209,Cuba,Cayman Islands,CUB,Americas,CYM
210,Cuba,Mexico,CUB,Americas,MEX
211,Cuba,United States of America,CUB,Americas,USA
213,Cyprus,Greece,CYP,Asia,GRC
214,Cyprus,Turkey,CYP,Asia,TUR
215,Czechia,Austria,CZE,Europe,AUT
216,Czechia,Germany,CZE,Europe,DEU
217,Czechia,Poland,CZE,Europe,POL
218,Czechia,Slovakia,CZE,Europe,SVK
219,Denmark,Germany,DNK,Europe,DEU
220,Denmark,Sweden,DNK,Europe,SWE
221,Djibouti,Eritrea,DJI,Africa,ERI
222,Djibouti,Ethiopia,DJI,Africa,ETH
223,Djibouti,Somalia,DJI,Africa,SOM
224,Dominica,Guadeloupe,DMA,Americas,GLP
225,Dominican Republic,Haiti,DOM,Americas,HTI
226,Dominican Republic,Puerto Rico,DOM,Americas,PRI
227,East Timor,Indonesia,TLS,Asia,IDN
228,Ecuador,Colombia,ECU,Americas,COL
229,Ecuador,Peru,ECU,Americas,PER
230,Egypt,Israel,EGY,Africa,ISR
231,Egypt,Libya,EGY,Africa,LBY
232,Egypt,Sudan,EGY,Africa,SDN
233,El Salvador,Guatemala,SLV,Americas,GTM
234,El Salvador,Honduras,SLV,Americas,HND
235,Equatorial Guinea,Cameroon,GNQ,Africa,CMR
236,Equatorial Guinea,Gabon,GNQ,Africa,GAB
237,Eritrea,Djibouti,ERI,Africa,DJI
238,Eritrea,Ethiopia,ERI,Africa,ETH
239,Eritrea,South Sudan,ERI,Africa,SSD
240,Eritrea,Sudan,ERI,Africa,SDN
241,Estonia,Latvia,EST,Europe,LVA
242,Estonia,Russian Federation,EST,Europe,RUS
245,Ethiopia,Djibouti,ETH,Africa,DJI
