,src,iso-alpha-3,region,trg,weights
636,Austria,AUT,Europe,Latvia,1
637,Austria,AUT,Europe,Lithuania,1
638,Austria,AUT,Europe,Luxembourg,1
639,Austria,AUT,Europe,North Macedonia,1
640,Austria,AUT,Europe,Malta,1
641,Austria,AUT,Europe,"Moldova, Republic of",1
642,Austria,AUT,Europe,Montenegro,1
643,Austria,AUT,Europe,Netherlands,1
644,Austria,AUT,Europe,Norway,1
645,Austria,AUT,Europe,Poland,1
646,Austria,AUT,Europe,Portugal,1
647,Austria,AUT,Europe,Qatar,1
648,Austria,AUT,Europe,Romania,1
649,Austria,AUT,Europe,Russian Federation,1
650,Austria,AUT,Europe,Serbia,1
651,Austria,AUT,Europe,Slovakia,1
652,Austria,AUT,Europe,Slovenia,1
653,Austria,AUT,Europe,Spain,1
654,Austria,AUT,Europe,Sweden,1
655,Austria,AUT,Europe,Switzerland,1
656,Austria,AUT,Europe,Taiwan,1
657,Austria,AUT,Europe,Thailand,1
658,Austria,AUT,Europe,Tunisia,1
659,Austria,AUT,Europe,Turkey,1
660,Austria,AUT,Europe,Ukraine,1
661,Austria,AUT,Europe,United Arab Emirates,1
662,Austria,AUT,Europe,United Kingdom of Great Britain and Northern Ireland,1
663,Austria,AUT,Europe,United States of America,1
1012,Azerbaijan,AZE,Asia,Afghanistan,1
1013,Azerbaijan,AZE,Asia,Austria,1
1014,Azerbaijan,AZE,Asia,Belarus,1
1015,Azerbaijan,AZE,Asia,China,1
1016,Azerbaijan,AZE,Asia,Czechia,1
1017,Azerbaijan,AZE,Asia,France,1
1018,Azerbaijan,AZE,Asia,Georgia,1
1019,Azerbaijan,AZE,Asia,Germany,1
1020,Azerbaijan,AZE,Asia,Hungary,1
1021,Azerbaijan,AZE,Asia,Iran (Islamic Republic of),1
1022,Azerbaijan,AZE,Asia,Israel,1
1023,Azerbaijan,AZE,Asia,Italy,1
1024,Azerbaijan,AZE,Asia,Kazakhstan,1
1025,Azerbaijan,AZE,Asia,Latvia,1
1026,Azerbaijan,AZE,Asia,Qatar,1
1027,Azerbaijan,AZE,Asia,Russian Federation,1
1028,Azerbaijan,AZE,Asia,Turkey,1
1029,Azerbaijan,AZE,Asia,Turkmenistan,1
1030,Azerbaijan,AZE,Asia,Ukraine,1
1031,Azerbaijan,AZE,Asia,United Arab Emirates,1
1032,Azerbaijan,AZE,Asia,United Kingdom of Great Britain and Northern Ireland,1
1033,Azerbaijan,AZE,Asia,Uzbekistan,1
1122,Bahamas,BHS,Americas,Canada,1
1123,Bahamas,BHS,Americas,Cayman Islands,1
1124,Bahamas,BHS,Americas,Cuba,1
1125,Bahamas,BHS,Americas,Jamaica,1
1126,Bahamas,BHS,Americas,Panama,1
1127,Bahamas,BHS,Americas,Turks and Caicos Islands,1
1128,Bahamas,BHS,Americas,United Kingdom of Great Britain and Northern Ireland,1
1129,Bahamas,BHS,Americas,United States of America,1
1130,Bahrain,BHR,Asia,Cyprus,1
1131,Bahrain,BHR,Asia,Egypt,1
1132,Bahrain,BHR,Asia,Ethiopia,1
1133,Bahrain,BHR,Asia,France,1
1134,Bahrain,BHR,Asia,Germany,1
1135,Bahrain,BHR,Asia,India,1
1136,Bahrain,BHR,Asia,Iran (Islamic Republic of),1
1137,Bahrain,BHR,Asia,Iraq,1
1138,Bahrain,BHR,Asia,Jordan,1
1139,Bahrain,BHR,Asia,Kuwait,1
1140,Bahrain,BHR,Asia,Lebanon,1
1141,Bahrain,BHR,Asia,Oman,1
1142,Bahrain,BHR,Asia,Pakistan,1
1143,Bahrain,BHR,Asia,Philippines,1
1144,Bahrain,BHR,Asia,Qatar,1
1145,Bahrain,BHR,Asia,Saudi Arabia,1
1146,Bahrain,BHR,Asia,Sri Lanka,1
1147,Bahrain,BHR,Asia,Sudan,1
1148,Bahrain,BHR,Asia,Thailand,1
1149,Bahrain,BHR,Asia,Turkey,1
1150,Bahrain,BHR,Asia,United Arab Emirates,1
1151,Bahrain,BHR,Asia,United Kingdom of Great Britain and Northern Ireland,1
1152,Bahrain,BHR,Asia,Yemen,1
1176,Bangladesh,BGD,Asia,Bhutan,1
1177,Bangladesh,BGD,Asia,Myanmar,1
1178,Bangladesh,BGD,Asia,China,1
1179,Bangladesh,BGD,Asia,Hong Kong,1
1180,Bangladesh,BGD,Asia,India,1
1181,Bangladesh,BGD,Asia,Italy,1
1182,Bangladesh,BGD,Asia,Kuwait,1
1183,Bangladesh,BGD,Asia,Malaysia,1
1184,Bangladesh,BGD,Asia,Nepal,1
1185,Bangladesh,BGD,Asia,Oman,1
