,src,trg,nij,score,region,weeks_since_100_cases
129,Belarus,Georgia,0.17577866248809984,0.9445251886599143,Europe,10
130,Tajikistan,Kazakhstan,0.22180797641347444,0.935174375423206,Asia,15
131,Serbia,Montenegro,0.22180797641347444,0.9358921467592092,Europe,8
132,Slovenia,Montenegro,0.11090398820673722,0.9569585989598619,Europe,8
133,Faroe Islands,Norway,0.11090398820673722,0.9565087714889718,Europe,9
134,Bosnia and Herzegovina,Serbia,0.17577866248809984,0.9616208672515129,Europe,9
135,Montenegro,Serbia,0.22180797641347444,0.9365219098981872,Europe,10
136,Montenegro,Slovenia,0.11090398820673722,0.9569585989598619,Europe,10
137,Azerbaijan,Turkmenistan,0.11090398820673722,0.9585377126583047,Asia,9
138,Bahamas,Turks and Caicos Islands,0.22180797641347444,0.9853940954253929,Americas,18
139,Haiti,Turks and Caicos Islands,0.17577866248809984,0.9848034206604037,Americas,15
140,Maldives,Sri Lanka,0.4103935228604617,0.9679955053524597,Asia,13
141,Seychelles,Sri Lanka,0.11090398820673722,0.9637017435264272,Africa,142
142,Djibouti,Yemen,0.17577866248809984,0.9713853332570229,Africa,11
143,Eritrea,Yemen,0.11090398820673722,0.9950267673547719,Africa,21
144,Bangladesh,Nepal,0.22180797641347444,0.9511853550051336,Asia,11
145,Barbados,Antigua and Barbuda,0.11090398820673722,0.9817145437693172,Americas,25
146,Dominican Republic,Antigua and Barbuda,0.22180797641347444,0.9345725672593744,Americas,9
147,Guadeloupe,Antigua and Barbuda,0.11090398820673722,0.9629684800495665,Americas,142
148,Saint Lucia,Antigua and Barbuda,0.11090398820673722,0.9592965033280895,Americas,142
149,Namibia,Angola,0.17577866248809984,0.9886635673699271,Africa,23
150,Cameroon,Benin,0.22180797641347444,0.9509291339012995,Africa,10
151,Congo,Benin,0.3113468571680022,0.9766516167547062,Africa,12
152,Côte d'Ivoire,Benin,0.17577866248809984,0.9485965915584506,Africa,10
153,Equatorial Guinea,Benin,0.11090398820673722,0.9767082227574342,Africa,14
154,Gabon,Benin,0.17577866248809984,0.9801669961683475,Africa,13
155,Mali,Benin,0.17577866248809984,0.9722377510850297,Africa,12
156,Togo,Benin,0.11090398820673722,0.9712599016105083,Africa,14
157,Côte d'Ivoire,Burkina Faso,0.33271196462021163,0.9818932733307526,Africa,10
158,Mali,Burkina Faso,0.17577866248809984,0.9817135992666512,Africa,12
159,Niger,Burkina Faso,0.33271196462021163,0.9955734510181249,Africa,11
160,Togo,Burkina Faso,0.11090398820673722,0.9810663065511038,Africa,14
161,Rwanda,Burundi,0.3113468571680022,0.9930653094713564,Africa,11
162,Benin,Cameroon,0.22180797641347444,0.9495016477075595,Africa,15
163,Central African Republic,Cameroon,0.11090398820673722,0.993603755111693,Africa,16
164,Chad,Cameroon,0.17577866248809984,0.9895891807538021,Africa,15
165,Congo,Cameroon,0.22180797641347444,0.9530745958113145,Africa,12
166,"Congo, Democratic Republic of the",Cameroon,0.25751108605227985,0.9687380918079029,Africa,10
167,Equatorial Guinea,Cameroon,0.25751108605227985,0.9853999453471054,Africa,14
168,Gabon,Cameroon,0.22180797641347444,0.9772577130211806,Africa,13
169,Benin,Côte d'Ivoire,0.33271196462021163,0.9718552155546224,Africa,15
170,Burkina Faso,Côte d'Ivoire,0.33271196462021163,0.9817947509906,Africa,9
171,Ghana,Côte d'Ivoire,0.33271196462021163,0.9793303674088112,Africa,9
172,Guinea,Côte d'Ivoire,0.11090398820673722,0.9686763490830421,Africa,11
173,Mali,Côte d'Ivoire,0.17577866248809984,0.966839577184583,Africa,12
174,Nigeria,Côte d'Ivoire,0.22180797641347444,0.9385060337020442,Africa,10
175,Togo,Côte d'Ivoire,0.11090398820673722,0.9656749009145913,Africa,14
176,Burundi,Rwanda,0.28668265069483706,0.9917328169830797,Africa,21
177,Uganda,Rwanda,0.25751108605227985,0.9814186968573992,Africa,15
178,Gambia,Senegal,0.22180797641347444,0.9820789283633434,Africa,142
179,Ghana,Senegal,0.17577866248809984,0.9475010456430953,Africa,9
180,Guinea,Senegal,0.33271196462021163,0.9856374033783802,Africa,11
181,Guinea-Bissau,Senegal,0.11090398820673722,0.9856374033783802,Africa,14
182,Mali,Senegal,0.25751108605227985,0.969093914805041,Africa,12
183,Mauritania,Senegal,0.17577866248809984,0.978533184869189,Africa,17
184,Gambia,Sierra Leone,0.11090398820673722,0.9877658529279372,Africa,142
185,Ghana,Sierra Leone,0.17577866248809984,0.9818167341070857,Africa,9
186,Liberia,Sierra Leone,0.3113468571680022,0.9941292758814461,Africa,13
187,Belize,Guatemala,0.11090398820673722,0.9794194054350701,Americas,142
188,Costa Rica,Guatemala,0.22180797641347444,0.9707419058266978,Americas,9
189,Honduras,Guatemala,0.3684150742590171,0.9857675494310206,Americas,10
190,Belize,Honduras,0.11090398820673722,0.9757572915828431,Americas,142
191,Cayman Islands,Honduras,0.11090398820673722,0.9769775792271591,Americas,17
192,Costa Rica,Honduras,0.25751108605227985,0.9702662368721702,Americas,9
193,El Salvador,Honduras,0.17577866248809984,0.9648405725184768,Americas,11
194,Guatemala,Honduras,0.33271196462021163,0.9842647271375151,Americas,11
