level_0,index,country_source,country_dest,source_id,dest_id,cnt,airport_id_source,latitude_source,longitude_source,altitude_source,airport_id_dest,latitude_dest,longitude_dest,altitude_dest
1260,1303,France,Brazil,4146.0,7655.0,4,4146,147.03839399999998,7.6499999999999995,1176,7655,-62.11472320552403,-137.64444732665936,5984
1261,1304,France,Bulgaria,2749.0,2388.0,3,2749,98.46719710888672,4.662780094146728,751,2388,85.39338684082031,46.82287216186523,3484
1262,1305,France,Burkina Faso,1382.0,246.0,1,1382,49.012798,2.55,392,246,12.3532,-1.51242,1037
1263,1306,France,Cameroon,2764.0,5058.0,4,2764,98.025596,5.1,784,5058,7.728640079494043,21.272779464719626,2311
1264,1307,France,Canada,12111.0,1326.0,19,12111,417.0423581873999,28.196113380835005,3035,1326,408.76250121479995,-667.2094956269999,1639
1265,1308,France,Cape Verde,5528.0,8985.0,4,5528,196.051192,10.2,1568,8985,64.6356003250122,-94.38710027160644,542
1266,1309,France,Central African Republic,1382.0,888.0,1,1382,49.012798,2.55,392,888,4.39847993850708,18.518800735473636,1208
1267,1310,France,Chad,1382.0,999.0,1,1382,49.012798,2.55,392,999,12.1337,15.034,968
1268,1311,France,Chile,1382.0,2650.0,2,1382,49.012798,2.55,392,2650,-33.393001556396484,-70.78579711914062,1555
1269,1312,France,China,5528.0,13516.0,10,5528,196.051192,10.2,1568,13516,125.3997019470215,465.8970029907226,292
1270,1313,France,Colombia,1382.0,2709.0,1,1382,49.012798,2.55,392,2709,4.70159,-74.1469,8361
1271,1314,France,Congo (Brazzaville),2764.0,1769.0,4,2764,98.025596,5.1,784,1769,-9.067729949951172,27.139599800109863,1103
1272,1315,France,Congo (Kinshasa),1382.0,1020.0,1,1382,49.012798,2.55,392,1020,-4.38575,15.4446,1027
1273,1316,France,Cote d'Ivoire,2768.0,506.0,3,2768,97.7361313,4.9294443999999995,683,506,10.522780418395996,-7.852580070495605,42
1274,1317,France,Croatia,15175.0,13253.0,12,15175,532.5520174397734,38.260478391073455,4279,13253,480.6927981037711,180.68100128017824,3102
1275,1318,France,Cuba,2768.0,3814.0,2,2768,97.7361313,4.9294443999999995,683,3814,42.959001541137695,-158.2445068359375,459
1276,1319,France,Cyprus,2805.0,2394.0,3,2805,96.602798,10.0791667,1277,2394,69.75019836425781,67.24980163574217,16
1277,1320,France,Czech Republic,12468.0,14278.0,16,12468,422.85365651404686,38.544516149259664,3462,14278,450.5027005065918,132.19109924316408,10820
1278,1321,France,Denmark,9559.0,4261.0,12,9559,324.6816636925715,22.99968985557111,2650,4261,389.57010269174503,81.583560943605,579
1279,1322,France,Djibouti,1382.0,4119.0,1,1382,49.012798,2.55,392,4119,11.547300338745115,43.15950012207031,49
1280,1323,France,Dominican Republic,2764.0,3521.0,5,2764,98.025596,5.1,784,3521,38.3253002166371,-138.9334030151242,62
1281,1324,France,Egypt,4187.0,3390.0,5,4187,145.615596,12.629166699999999,1669,3390,82.97120141601562,97.91159992370606,728
1282,1325,France,Estonia,1354.0,415.0,1,1354,43.658401489300005,7.215869903560001,12,415,59.41329956049999,24.8327999115,131
1283,1326,France,Ethiopia,1382.0,1107.0,1,1382,49.012798,2.55,392,1107,8.97789001465,38.7993011475,7630
