	src	trg	iso_code_src	region	iso_code_trg	kmdist	proximity	log-prox	Norm_prox	norm_log_prox
191	Congo, Democratic Republic of the	Burundi	COD	Africa	BDI	2852	0.000350631136	0.1256948445	0.005612570021	0.005612570021
192	Congo, Democratic Republic of the	Central African Republic	COD	Africa	CAF	1031	0.0009699321048	0.1441278463	0.01801605294	0.01801605294
193	Congo, Democratic Republic of the	Congo	COD	Africa	COG	20	0.05	0.3338082007	1	1
194	Congo, Democratic Republic of the	Rwanda	COD	Africa	RWA	2788	0.0003586800574	0.1260544491	0.005773775418	0.005773775418
195	Congo, Democratic Republic of the	South Sudan	COD	Africa	SSD	2705	0.0003696857671	0.126536514	0.00599419996	0.00599419996
196	Congo, Democratic Republic of the	Tanzania, United Republic of	COD	Africa	TZA	3564	0.0002805836139	0.1222697353	0.004209644322	0.004209644322
197	Congo, Democratic Republic of the	Uganda	COD	Africa	UGA	2946	0.000339443313	0.125184591	0.005388498076	0.005388498076
198	Congo, Democratic Republic of the	Zambia	COD	Africa	ZMB	1880	0.0005319148936	0.1326431107	0.009243357157	0.009243357157
199	Cook Islands	Niue	COK	Oceania	NIU	1086	0.0009208103131	0.143056267	0.01703223193	0.01703223193
200	Costa Rica	Nicaragua	CRI	Americas	NIC	337	0.00296735905	0.1718188576	0.0580209169	0.0580209169
201	Costa Rica	Panama	CRI	Americas	PAN	523	0.001912045889	0.15975509	0.03688489511	0.03688489511
202	Costa Rica	Panama	CRI	Americas	PAN	523	0.001912045889	0.15975509	0.03688489511	0.03688489511
203	Côte d'Ivoire	Burkina Faso	CIV	Africa	BFA	784	0.001275510204	0.1500508143	0.02413623186	0.02413623186
204	Côte d'Ivoire	Ghana	CIV	Africa	GHA	619	0.001615508885	0.1555668362	0.03094579304	0.03094579304
205	Côte d'Ivoire	Guinea	CIV	Africa	GIN	975	0.001025641026	0.1452973607	0.01913180228	0.01913180228
206	Côte d'Ivoire	Liberia	CIV	Africa	LBR	608	0.001644736842	0.1560019841	0.03153117637	0.03153117637
207	Côte d'Ivoire	Mali	CIV	Africa	MLI	726	0.001377410468	0.151801504	0.02617711061	0.02617711061
208	Croatia	Bosnia and Herzegovina	HRV	Europe	BIH	299	0.003344481605	0.1754249449	0.0655740024	0.0655740024
209	Croatia	Hungary	HRV	Europe	HUN	328	0.003048780488	0.1726217246	0.05965164163	0.05965164163
210	Croatia	Montenegro	HRV	Europe	MNE	394	0.002538071066	0.1673261854	0.0494230518	0.0494230518
211	Croatia	Serbia	HRV	Europe	SRB	373	0.002680965147	0.1688738929	0.05228496288	0.05228496288
212	Croatia	Slovenia	HRV	Europe	SVN	155	0.006451612903	0.1982779514	0.1278042457	0.1278042457
213	Cuba	Cayman Islands	CUB	Americas	CYM	429	0.002331002331	0.1649768386	0.04527583801	0.04527583801
214	Cuba	Mexico	CUB	Americas	MEX	1788	0.0005592841163	0.133531798	0.009791513391	0.009791513391
215	Cuba	United States of America	CUB	Americas	USA	1813	0.0005515719801	0.1332846718	0.009637053194	0.009637053194
216	Cuba	United States of America	CUB	Americas	USA	1813	0.0005515719801	0.1332846718	0.009637053194	0.009637053194
217	Cyprus	Greece	CYP	Asia	GRC	924	0.001082251082	0.1464404985	0.02026559975	0.02026559975
218	Cyprus	Turkey	CYP	Asia	TUR	456	0.002192982456	0.1633321641	0.04251154852	0.04251154852
219	Czechia	Austria	CZE	Europe	AUT	259	0.003861003861	0.1799587802	0.07591901282	0.07591901282
220	Czechia	Germany	CZE	Europe	DEU	237	0.004219409283	0.1828802124	0.08309722786	0.08309722786
221	Czechia	Germany	CZE	Europe	DEU	523	0.001912045889	0.15975509	0.03688489511	0.03688489511
222	Czechia	Poland	CZE	Europe	POL	517	0.001934235977	0.1600501181	0.03732932259	0.03732932259
223	Czechia	Slovakia	CZE	Europe	SVK	295	0.003389830508	0.1758403962	0.06648225925	0.06648225925
224	Denmark	Germany	DNK	Europe	DEU	342	0.002923976608	0.1713851648	0.05715204472	0.05715204472
225	Denmark	Germany	DNK	Europe	DEU	662	0.001510574018	0.1539582934	0.02884413666	0.02884413666
226	Denmark	Sweden	DNK	Europe	SWE	552	0.001811594203	0.1583895446	0.03487302877	0.03487302877
227	Djibouti	Eritrea	DJI	Africa	ERI	613	0.00163132137	0.1558029202	0.03126248864	0.03126248864
228	Djibouti	Ethiopia	DJI	Africa	ETH	549	0.001821493625	0.1585263783	0.03507129636	0.03507129636
229	Djibouti	Ethiopia	DJI	Africa	ETH	549	0.001821493625	0.1585263783	0.03507129636	0.03507129636
230	Djibouti	Somalia	DJI	Africa	SOM	1085	0.0009216589862	0.1430751226	0.01704922932	0.01704922932
231	Dominica	Guadeloupe	DMA	Americas	GLP	84	0.0119047619	0.2256920214	0.237020998	0.237020998
232	Dominican Republic	Haiti	DOM	Americas	HTI	246	0.00406504065	0.1816421034	0.08000550221	0.08000550221
233	Dominican Republic	Puerto Rico	DOM	Americas	PRI	400	0.0025	0.1669041003	0.04866055693	0.04866055693
234	East Timor	Indonesia	TLS	Asia	IDN	2085	0.000479616307	0.1308468227	0.008195910667	0.008195910667
235	Ecuador	Colombia	ECU	Americas	COL	705	0.001418439716	0.1524809147	0.02699885255	0.02699885255
236	Ecuador	Peru	ECU	Americas	PER	1349	0.0007412898443	0.1387517009	0.01343676029	0.01343676029
237	Egypt	Israel	EGY	Africa	ISR	401	0.002493765586	0.1668345738	0.04853569284	0.04853569284
238	Egypt	Libya	EGY	Africa	LBY	1712	0.0005841121495	0.1343108016	0.01028877418	0.01028877418
239	Egypt	Sudan	EGY	Africa	SDN	1667	0.000599880024	0.1347930362	0.0106045763	0.0106045763
240	Egypt	Sudan	EGY	Africa	SDN	1667	0.000599880024	0.1347930362	0.0106045763	0.0106045763
241	El Salvador	Guatemala	SLV	Americas	GTM	171	0.005847953216	0.1944895828	0.1157140295	0.1157140295
242	El Salvador	Honduras	SLV	Americas	HND	201	0.004975124378	0.1885616643	0.09823284003	0.09823284003
243	Equatorial Guinea	Cameroon	GNQ	Africa	CMR	205	0.00487804878	0.1878636343	0.09628859066	0.09628859066
244	Equatorial Guinea	Gabon	GNQ	Africa	GAB	225	0.004444444444	0.1846346865	0.08760427682	0.08760427682
245	Eritrea	Djibouti	ERI	Africa	DJI	613	0.00163132137	0.1558029202	0.03126248864	0.03126248864
